Country/Region,Date,R,ci_65_l,ci_65_u
Switzerland,2020-03-14,2.930124722665868,2.52763883434955,3.331609972137948
Switzerland,2020-03-15,2.8738140576954447,2.466187595408956,3.2695087680492607
Switzerland,2020-03-16,2.665649259779614,2.292770422728509,3.040277144480086
Switzerland,2020-03-17,2.5751785960240388,2.209918842100054,2.945947315674283
Switzerland,2020-03-18,2.489770859402239,2.1244956494380194,2.8554005655590755
Switzerland,2020-03-19,2.4603647300183065,2.088099757101772,2.830953369306912
Switzerland,2020-03-20,2.357480048233485,1.9902292156397947,2.722955935327569
Switzerland,2020-03-21,2.2178460354937206,1.8612588298738173,2.575287309595608
Switzerland,2020-03-22,2.06152587603934,1.710183251423805,2.41558330964094
Switzerland,2020-03-23,1.932858809640956,1.5781534056894566,2.2848751904012228
Switzerland,2020-03-24,1.7941499626185653,1.4388322715590216,2.147356483523593
Switzerland,2020-03-25,1.67201140622364,1.315278323286665,2.0319705950729787
Switzerland,2020-03-26,1.5655023141829107,1.208724482304362,1.924339535897876
Switzerland,2020-03-27,1.4780435268946042,1.124708058113734,1.83619183652216
Switzerland,2020-03-28,1.395055830308719,1.0380630000965352,1.7554032046069956
Switzerland,2020-03-29,1.3159802548057973,0.9585526578449992,1.678563451384785
Switzerland,2020-03-30,1.2562282930876765,0.8984758254678054,1.6186867586829805
Switzerland,2020-03-31,1.1955827673500437,0.8392990909325745,1.5572800505033997
Switzerland,2020-04-01,1.1531358033095167,0.7983774087982363,1.508656839006261
Switzerland,2020-04-02,1.099805795274967,0.7466908124814572,1.455217038391657
Switzerland,2020-04-03,1.0464677884873226,0.6884590313167886,1.402398882804755
Switzerland,2020-04-04,0.9990992456902802,0.6452682161940432,1.3545603725161646
Switzerland,2020-04-05,0.9525636231186712,0.5997192140805894,1.306330174812345
Switzerland,2020-04-06,0.9158111449326136,0.5616689453780461,1.2719339518601465
Switzerland,2020-04-07,0.8890618743300644,0.5339576077338194,1.2437722235099211
Switzerland,2020-04-08,0.8673067869137375,0.5133732934928296,1.2186112774270994
Switzerland,2020-04-09,0.8283298930553618,0.4745601792264058,1.1804169924960497
Switzerland,2020-04-10,0.7850310146832432,0.431023258646441,1.1410284461369904
Switzerland,2020-04-11,0.7475869046665036,0.3943984117538545,1.0993153669632223
Switzerland,2020-04-12,0.7076193309790241,0.3547746133457082,1.0636849617883466
Switzerland,2020-04-13,0.6812218284957279,0.3250386028516695,1.0325909730606062
Switzerland,2020-04-14,0.6659859327365731,0.3119141715608364,1.021736992147976
Switzerland,2020-04-15,0.6607727119410045,0.3104697327901707,1.0134773282194014
Switzerland,2020-04-16,0.6500377605123067,0.2973384645803345,1.0026777098342663
Switzerland,2020-04-17,0.6402326864925965,0.2874733618329941,0.9928304962976606
Switzerland,2020-04-18,0.6271368073371795,0.2724679018662536,0.9759655689094244
Switzerland,2020-04-19,0.6130933226690561,0.2580923337934139,0.965722307643902
Switzerland,2020-04-20,0.5903771969086467,0.238768064664003,0.9418631296001252
Switzerland,2020-04-21,0.5797849597107384,0.2274503239587311,0.9345140975688064
Switzerland,2020-04-22,0.5788635612909594,0.2275091856510227,0.9331739933829104
Switzerland,2020-04-23,0.5768192386053423,0.2257482853698249,0.9325490399597564
Switzerland,2020-04-24,0.5691048044443712,0.2133569371498621,0.925485467699528
Switzerland,2020-04-25,0.5639961207081201,0.2085602912014904,0.9158645554349876
Switzerland,2020-04-26,0.5563813967697638,0.1989051428702011,0.9128839704636258
Switzerland,2020-04-27,0.5445634996823342,0.1833558421067358,0.9039532896792376
Switzerland,2020-04-28,0.5409542861950981,0.1800718208481049,0.8982609825362681
Switzerland,2020-04-29,0.5431781684763093,0.1810725262165364,0.9094446039147572
Switzerland,2020-04-30,0.5431225252919216,0.171349401470322,0.914444869519668
Switzerland,2020-05-01,0.5275244983893415,0.1525681870082373,0.9014736042410554
Switzerland,2020-05-02,0.5139387536867023,0.1283295287583814,0.8981131120537913
Switzerland,2020-05-03,0.4955012107532905,0.0947564886358399,0.8951549066771328
Switzerland,2020-05-04,0.4803040478060516,0.0620153018766259,0.8973546501191219
Switzerland,2020-05-05,0.4641360108183023,0.0145098534315087,0.9044638054311208
Switzerland,2020-05-06,0.4596323878684951,0.0,0.9472695860295576
