Date,R,lb_95,ub_95,lb_50,ub_50
2020-09-06,1.0936118837650106,0.9577494192181257,1.230371092578636,1.047694978902419,1.1398177666358118
2020-09-07,1.089185345951467,0.9512629846719443,1.225138874900375,1.043072283375687,1.1358628642303905
2020-09-08,1.0609626753671149,0.924384820902626,1.1964671361889119,1.0137839682451197,1.107554855763589
2020-09-09,1.0636687152926187,0.9260157314760192,1.1970000344814298,1.0173833503133667,1.1094641046621214
2020-09-10,1.0621410409920415,0.9240312828439804,1.1985760761445061,1.0164192237070784,1.1086356128116495
2020-09-11,1.1009585266518687,0.9661501004799103,1.2360955914480236,1.0541245703868427,1.1483687697263523
2020-09-12,1.146125182576958,1.011060750059682,1.2854100683333276,1.099860377297201,1.1937180583641878
2020-09-13,1.1812794920838674,1.0465477135524786,1.3172665554512997,1.1343161554814591,1.2271526277060056
2020-09-14,1.201316497491256,1.0663194765291686,1.337850463607545,1.1558088048342823,1.2484008323356794
2020-09-15,1.23340469147702,1.0990098838135467,1.3677968765472506,1.1875733844384457,1.2805438166262353
2020-09-16,1.2212376016630488,1.0856448002063366,1.357919066342165,1.1750425318723612,1.2678567123197673
2020-09-17,1.2063018816157072,1.0710238096345732,1.3418207563198177,1.1609054761531319,1.2530307209921607
2020-09-18,1.1689846733941418,1.032304275720784,1.3051754910679334,1.122820613117524,1.2153908066108114
2020-09-19,1.1295891721848441,0.9939272145615048,1.2648703234055054,1.0830122686055896,1.1760207065673502
2020-09-20,1.1060875031473731,0.9707940174697908,1.2448439216301823,1.0593727192708382,1.1530549316988092
2020-09-21,1.0904097138735915,0.9526296499506859,1.2257067456290955,1.0439372375141773,1.1366786891563154
2020-09-22,1.0716132961203086,0.9347505546812547,1.2062374481500213,1.023878382109264,1.1173446696359635
2020-09-23,1.0818632939018054,0.9465306276167891,1.2175004657436381,1.0348033171314501,1.1280159472831464
2020-09-24,1.108352154408351,0.9713854465550947,1.244920844044814,1.0601253130406247,1.1551144612271615
2020-09-25,1.1344884292633117,0.9974247597166687,1.2720040291168202,1.086592296539466,1.1819129814354032
2020-09-26,1.1588143368317247,1.0234711763415416,1.295385241969471,1.1113490968275854,1.2052732416556466
2020-09-27,1.1556455203884513,1.0196959048897445,1.2918267798217644,1.109444624823302,1.2026106865334847
2020-09-28,1.1442557053707256,1.007528391652554,1.2801723172151913,1.0965988575281878,1.190550743387801
2020-09-29,1.1359353986131504,0.9997476352364074,1.271140516897322,1.0892966104856092,1.182042854650197
2020-09-30,1.1561445910734123,1.021636213846437,1.29200863734958,1.1097126182621848,1.2021702000026628
2020-10-01,1.1921221978348688,1.0566163229534449,1.327475550574341,1.144899523393202,1.2393624078003063
2020-10-02,1.2270435348073212,1.0905003875851718,1.3651537236988849,1.1803916709179505,1.2736368118970456
2020-10-03,1.2627752161966785,1.1257204932559435,1.3974410289193138,1.2164785425763058,1.3098073415805143
2020-10-04,1.294800781526655,1.1595985707113592,1.4306960245632683,1.2486938890325547,1.3411097769525537
2020-10-05,1.3474246214702053,1.2127605433154436,1.482520785728794,1.300806275586917,1.393593717363984
2020-10-06,1.4179551099555394,1.284529063239378,1.5535164888260335,1.3714108184356641,1.464685803697547
2020-10-07,1.4525748614247904,1.3167618918199349,1.588458046554352,1.4064857527252286,1.4990013179108803
2020-10-08,1.4630656313203576,1.3295434021724373,1.5989795408833887,1.4169499724647454,1.509966115796911
2020-10-09,1.4690349062496957,1.3347395882349913,1.606970006666489,1.4229254444145205,1.5160759271905688
2020-10-10,1.4526149684923344,1.3159991434119562,1.588983495255154,1.405730954390961,1.4988028626518535
2020-10-11,1.4532975426022168,1.3169570851846064,1.58881134286338,1.4060059839915113,1.498658986428064
2020-10-12,1.4687641689622075,1.336479389642769,1.6019501321441147,1.422795351763614,1.5152788000682533
2020-10-13,1.4859612953731642,1.3512209452315371,1.6200607647730787,1.4393516604118304,1.5322438158362568
2020-10-14,1.5170165528960426,1.3811749583773192,1.652438706569998,1.4707002249736927,1.5628418528944148
2020-10-15,1.5233769703553448,1.3889234507373833,1.6595107401950164,1.4775484254930351,1.5708023505935875
2020-10-16,1.5074786002489433,1.371157346442319,1.6418859775836658,1.4610119157921733,1.55317820909519
2020-10-17,1.4858792606838838,1.3511644549641186,1.621274460098931,1.4392806087859604,1.5318564136352175
2020-10-18,1.4878081175854796,1.3511728040362272,1.6253662932249076,1.4409421268391853,1.534575938968882
2020-10-19,1.5207758387413812,1.385514116062764,1.6573447415964693,1.4753376933079911,1.567668019164897
2020-10-20,1.5818131994456173,1.447007973679792,1.7194413868320944,1.5356742495205482,1.6289567305785684
2020-10-21,1.6277166391207738,1.4909759881068303,1.7669155472998244,1.5809648190892536,1.6751747726084651
2020-10-22,1.6402476997325037,1.5031479260693166,1.7753489544130763,1.592693470919729,1.6869763467612195
2020-10-23,1.61556762826701,1.4790166958694946,1.7533771229739439,1.5689142995724856,1.6621047858335007
2020-10-24,1.5791197150630025,1.4450144401763028,1.7136466346817472,1.5327984045905043,1.626227498026446
2020-10-25,1.538394958441608,1.4009818597474888,1.67354362066796,1.4919698662304715,1.5848121228546055
2020-10-26,1.5147533987272601,1.3774105886274506,1.648959955314748,1.4677482061848053,1.5619613352618356
2020-10-27,1.490649993718132,1.3539880504935864,1.62814394541072,1.4448855762133048,1.5376512852620665
2020-10-28,1.4603302823799038,1.3249459153306493,1.59772679577305,1.4131252611763694,1.5075192595185911
2020-10-29,1.4166564095654697,1.2812886158406542,1.554487794944805,1.370611398903338,1.4636876730229127
2020-10-30,1.3802786108103877,1.2444092048129822,1.5184257226314526,1.3331537163248182,1.4266442603251295
2020-10-31,1.3483952360357723,1.212196326299472,1.483878869946384,1.3016928623530082,1.3942905218513741
2020-11-01,1.325381500483429,1.19090966383923,1.4612411947755897,1.2786790402015056,1.372768858250124
2020-11-02,1.2835095542119226,1.1481844080388326,1.4201165422586681,1.237945784987703,1.3301372816087154
2020-11-03,1.2355484340044516,1.1012087179732306,1.3720162267191256,1.189045434940258,1.2823302806541856
2020-11-04,1.189635364671747,1.0539389437255102,1.3261791179204545,1.1432613777089085,1.2373013303073712
2020-11-05,1.1741668189251344,1.0363004179474038,1.3094047583136972,1.1282845780190325,1.220007080142252
2020-11-06,1.1740873611475542,1.038705332148168,1.309753630898584,1.1273769533269504,1.2212395712511916
2020-11-07,1.1725945654947307,1.0370960420061854,1.30687181280214,1.1267367113803275,1.219506278673018
2020-11-08,1.1555199321899645,1.0198594403943415,1.2906127336704498,1.1090338739543448,1.2022727782639968
2020-11-09,1.124552499138296,0.9899251165540291,1.2584617309115327,1.0782339398793364,1.1711621489581785
2020-11-10,1.0851034615345219,0.9495854288210375,1.2225776913359534,1.0393611566800827,1.1318395282129117
2020-11-11,1.0643595852353367,0.9248814279556583,1.2009173775171573,1.0164998829817118,1.111138120046684
2020-11-12,1.0585859912446463,0.9193654296769745,1.1942972095409283,1.0122465589636875,1.1056554883674916
2020-11-13,1.058363222345745,0.9221034552978037,1.1945538844306751,1.011334682218733,1.1050521313866235
2020-11-14,1.0627639785589,0.9265949749968521,1.1977574677469893,1.0162519990506702,1.1090250457409496
