Date,R_filtered,R_smoothed
2020-07-01,0.9974469408346112,0.9842137883308633
2020-07-02,1.0068345381138535,0.9823681343604734
2020-07-03,1.0010960777258737,0.9789557566057552
2020-07-04,0.9588004284593721,0.9758678021996168
2020-07-05,0.8844280719963367,0.978248222594446
2020-07-06,0.8951635785713706,0.9913335046846299
2020-07-07,0.9270394917571271,1.0047465146165226
2020-07-08,0.971233774491336,1.0155844668903282
2020-07-09,0.9902132107464489,1.0217701457368882
2020-07-10,1.0032879892588955,1.0261714539166238
2020-07-11,0.965807185109347,1.029363056022762
2020-07-12,0.8910531977387108,1.03822731912709
2020-07-13,0.9117277251058743,1.0587539851201067
2020-07-14,0.9833590299192159,1.0792600285946277
2020-07-15,1.0492070240394933,1.0926355306845104
2020-07-16,1.0908182362761008,1.0986925904587985
2020-07-17,1.101759194112458,1.099790842221365
