"values_r","values_R_consensus","values_R_hzi"
-0.501,0.000434830489208993,4.6282860539277e-07
-0.5,0.000446379234953059,4.8214556941783e-07
-0.499,0.000458229363344233,5.02262581939429e-07
-0.498,0.000470388542441049,5.23212487863682e-07
-0.497,0.000482864628088896,5.4502946675835e-07
-0.496,0.000495665668245276,5.67749086433311e-07
-0.495,0.00050879990739433,5.91408358640714e-07
-0.494,0.000522275791052053,6.16045796977128e-07
-0.493,0.000536101970363679,6.41701477073165e-07
-0.492,0.000550287306794629,6.68417099159283e-07
-0.491,0.000564840876916559,6.96236053099829e-07
-0.49,0.000579771977289887,7.25203485990862e-07
-0.489,0.000595090129444329,7.55366372420919e-07
-0.488,0.000610805084958884,7.86773587497612e-07
-0.487,0.000626926830642712,8.19475982746831e-07
-0.486,0.000643465593818427,8.53526464995343e-07
-0.485,0.000660431847709229,8.8898007835174e-07
-0.484,0.000677836316931354,9.25894089405026e-07
-0.483,0.000695689983093296,9.64328075764558e-07
-0.482,0.000714004090503279,1.00434401806975e-06
-0.481,0.000732790151986398,1.04600639560271e-06
-0.48,0.000752059954812894,1.08938228564194e-06
-0.479,0.00077182556673898,1.1345414667005e-06
-0.478,0.00079209934216164,1.18155652579714e-06
-0.477,0.000812893928388849,1.23050296991473e-06
-0.476,0.000834222272026523,1.28145934180582e-06
-0.475,0.000856097625483671,1.33450734031113e-06
-0.474,0.000878533553597061,1.38973194536311e-06
-0.473,0.000901543940376716,1.44722154785272e-06
-0.472,0.000925142995873653,1.50706808454459e-06
-0.471,0.000949345263171005,1.56936717823208e-06
-0.47,0.000974165625499964,1.63421828333135e-06
-0.469,0.000999619313481662,1.70172483712025e-06
-0.468,0.00102572191249624,1.77199441683611e-06
-0.467,0.00105248937018026,1.84513890285362e-06
-0.466,0.00107993800405367,1.92127464817279e-06
-0.465,0.00110808450927727,2.00052265445477e-06
-0.464,0.00113694596654194,2.08300875485245e-06
-0.463,0.0011665398500904,2.1688638038915e-06
-0.462,0.00119688403587269,2.25822387466695e-06
-0.461,0.00122799680983619,2.35123046362988e-06
-0.46,0.00125989687635093,2.44803070324893e-06
-0.459,0.00129260336677124,2.54877758284151e-06
-0.458,0.00132613584813422,2.65363017788032e-06
-0.457,0.00136051433199591,2.76275388809173e-06
-0.456,0.00139575928340564,2.87632068467408e-06
-0.455,0.00143189163001917,2.99450936697563e-06
-0.454,0.001468932771351,3.11750582898422e-06
-0.453,0.0015069045881664,3.24550333599306e-06
-0.452,0.00154582945201323,3.37870281182048e-06
-0.451,0.00158573023489394,3.51731313697449e-06
-0.45,0.00162663031907784,3.66155145816726e-06
-0.449,0.00166855360705357,3.81164350959893e-06
-0.448,0.00171152453162182,3.96782394644489e-06
-0.447,0.001755568066128,4.13033669099627e-06
-0.446,0.00180070973483467,4.29943529191901e-06
-0.445,0.00184697562343333,4.47538329711351e-06
-0.444,0.00189439238969483,4.65845464067361e-06
-0.443,0.00194298727425805,4.84893404446124e-06
-0.442,0.0019927881115559,5.04711743483129e-06
-0.441,0.00204382334087771,5.2533123750595e-06
-0.44,0.00209612201756701,5.46783851404601e-06
-0.439,0.00214971382435346,5.69102805188656e-06
-0.438,0.00220462908281756,5.92322622292433e-06
-0.437,0.0022608987649867,6.16479179691622e-06
-0.436,0.00231855450506074,6.41609759896961e-06
-0.435,0.00237762861126532,6.67753104892794e-06
-0.434,0.002438154077831,6.94949472090683e-06
-0.433,0.00250016459709574,7.23240692370671e-06
-0.432,0.00256369457172865,7.52670230285226e-06
-0.431,0.00262877912707206,7.83283246503518e-06
-0.43,0.00269545412359942,8.15126662576243e-06
-0.429,0.0027637561694859,8.48249228104007e-06
-0.428,0.00283372263328834,8.8270159039502e-06
-0.427,0.00290539165673142,9.18536366700779e-06
