date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2020-03-18,2.025858443114932,1.9915062475180367,2.060603421801821,1.4092191899452196,1.4303040592449112,1.38834256176171,0.9897342060368358,0.9328751931804294,1.046593218893242,1.7207481661759452,1.6757480956443198,1.7657482367075705,1.2707037135414425,1.178474868009229,1.3560134926161818,2.5639988997625185,2.4233528919069784,2.7030563377719252,1.01,0.912,1.145,4.13094,3.929794475,4.454858374999999
2020-03-19,1.9491441337555038,1.9192949221382942,1.9793012332479933,1.3522145110958925,1.3719874148873046,1.3326325027774526,0.9552646325144254,0.9001127858880543,1.0104164791407966,1.7024244458712068,1.6586266519274568,1.7462222398149567,1.20313985827266,1.1186600840738583,1.2823509807658395,2.334655329389026,2.197402556702039,2.4714530735107667,0.976,0.869,1.102,4.0486275,3.852646325,4.36556405
2020-03-20,1.7989541925976604,1.7733388401690935,1.824815036436045,1.3011856802822315,1.3198524213046525,1.2826957779150432,0.9308248472645627,0.877028113185737,0.9846215813433884,1.6184581406415874,1.5771431500955124,1.6597731311876625,1.145373180926077,1.0655727329034814,1.2225497125223204,2.095956569421994,1.956715754327372,2.2340964316364937,0.942,0.837,1.056,3.8689955,3.683053775,4.173574974999999
2020-03-21,1.642998510423108,1.620756825240405,1.6654427531421254,1.2554482657171222,1.273177485576677,1.237884403413462,0.9148196813915717,0.8617624822033694,0.967876880579774,1.1723606632046268,1.1386025489413523,1.2061187774679014,1.0952946937576749,1.0226610105350924,1.1703840728542352,1.945525311961372,1.8053036910599465,2.08431944562689,0.909,0.811,1.025,3.562169,3.392590675,3.8472025249999993
2020-03-22,1.4926878726344648,1.473062031475602,1.512487263464454,1.2146149061560694,1.2315492558046315,1.1978365094160779,0.9044304759721474,0.8518453467207385,0.9570156052235563,0.6899874993928642,0.665292951428798,0.7146820473569304,1.053425098164678,0.9849651243328463,1.1302810233458487,1.8280185384818872,1.6860306346292304,1.9662260604085444,0.884,0.787,0.997,3.138025,2.99028195,3.3986397749999995
2020-03-23,1.4263284130348906,1.4082363405270848,1.4445747826093103,1.1771757838859158,1.193429689441137,1.161070132774367,0.8971717943110306,0.8450433187001642,0.9493002699218969,0.8638076346310815,0.8371877685549607,0.8904275007072022,1.0164061401461901,0.950618167206651,1.0954124064470214,1.7175800013260176,1.5811838942979044,1.85502080695068,0.858,0.762,0.972,2.7809955,2.651785525,3.0202370249999992
2020-03-24,1.3902792415484524,1.3732889034787208,1.4074091415465226,1.1413806004936455,1.1570423055396601,1.125860868441329,0.8918131415513632,0.8405759832827511,0.9430502998199752,1.2232347026716461,1.1920589301244466,1.2544104752188456,0.9835446506781945,0.9188681078128594,1.0596806714914886,1.6357937950723067,1.4996130644599812,1.7720045791749048,0.837,0.747,0.949,2.527475,2.41217435,2.747373949999999
2020-03-25,1.369643197038321,1.3535419969152007,1.3858715827844155,1.105459263441677,1.1205941353761577,1.090461284648942,0.8881056525324913,0.8370859650697977,0.9391253399951849,1.2696674450438843,1.2378886810202838,1.3014462090674848,0.9531026533216694,0.8865594656111078,1.0307223985008815,1.58665550919444,1.4495358420987334,1.720725629875979,0.817,0.728,0.925,2.358015,2.25312065,2.5612206749999995
2020-03-26,1.3363894697975105,1.3211736865521884,1.351721632516201,1.0696248523024465,1.0842922871174494,1.0550902907439974,0.8849847712218807,0.8329616631743698,0.9370078792693916,1.3233491039823777,1.2908462878312397,1.3558519201335157,0.9252053865908856,0.8607022877987708,1.0031918046206059,1.531784493247219,1.3960583369838029,1.6672854809031397,0.801,0.706,0.905,2.2280065,2.131826725,2.4160391249999993
2020-03-27,1.3118093939741817,1.2973336903336017,1.326392379628018,1.0351894078339074,1.0494532651559758,1.0210553867440348,0.8811202122679526,0.8279797271557802,0.934260697380125,1.2561364569169708,1.2245803615063735,1.2876925523275682,0.8997049552348516,0.8358098227472277,0.9759198112938778,1.4802073924578771,1.3441475439924329,1.6189040688407093,0.782,0.694,0.876,2.1091865,2.0210413249999997,2.2830287499999993
2020-03-28,1.268615384774689,1.2549050910075568,1.2824251767659602,1.0031974066661906,1.0171256848873942,0.9893968664668157,0.8751448622811308,0.8223115480843683,0.9279781764778932,0.8420117180522311,0.8165164715667601,0.867506964537702,0.8758943878934835,0.8128945321888696,0.9497347612380121,1.432841559334693,1.297403153399625,1.5682915993766335,0.767,0.679,0.869,1.9453545,1.86599835,2.1044303499999995
