date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2020-08-10,1.1207909191135308,1.0933135788929802,1.1487248261604615,1.1386757803365983,1.1664687743569575,1.111327809240125,1.1402480604730916,1.093979678032142,1.1865164429140411,1.1207120250474676,1.093007230457544,1.1484168196373912,1.1487663349866888,1.0607647755302432,1.240189332450544,1.1888193913433958,1.068039340003415,1.309960718015055,1.021,0.923,1.15,1.06693158954486,1.05854622523942,1.07951927956306
2020-08-11,1.1303719236347685,1.1031698067544546,1.1580175779561626,1.1404187120118372,1.1677501119790374,1.113517142037069,1.1482086075270101,1.1017983315096176,1.1946188835444027,1.1302956130395654,1.102872509822594,1.1577187162565368,1.1539356202605737,1.0645518553393167,1.2450458888413365,1.1987700533585974,1.0798997110095307,1.3211501748919356,1.019,0.914,1.14,1.07112621003721,1.06273825801909,1.07951927956306
2020-08-12,1.166417454320607,1.1392320053778313,1.194031986381196,1.1419776324138458,1.168846817916121,1.1155234133156975,1.1546365711408297,1.1085696054470326,1.2007035368346268,1.1663448386706032,1.1389455526491965,1.19374412469201,1.1600175505752905,1.069169993549609,1.2517696282705837,1.2008356048593192,1.0791389867819432,1.3218835600065335,1.012,0.9,1.149,1.10893425763264,1.10472845226734,1.1173494574451
2020-08-13,1.1687075417320574,1.1420602240459163,1.1957661740827026,1.1436575559424729,1.170068642858036,1.117646931375126,1.1581377665318626,1.1127866913776927,1.2034888416860325,1.1686380068273712,1.1417856906453687,1.1954903230093736,1.1663924629823383,1.0794642928422524,1.2577773136313881,1.171557612286675,1.0525335840181351,1.2926146237830605,1.009,0.9,1.142,1.15105694141283,1.14683950164831,1.16371596421945
2020-08-14,1.1732053730733727,1.147078638246233,1.1997258506582893,1.1445556697347334,1.1705022714314335,1.1189953724544501,1.1586859323100442,1.1147358155314386,1.2026360490886498,1.1731389472430853,1.1468159538182792,1.1994619406678915,1.1710613783992523,1.0831547117197644,1.2654978355826099,1.1412970124175867,1.01944151105075,1.26094196637703,1.006,0.899,1.132,1.18061004449156,1.17216082931709,1.18906355735029
2020-08-15,1.1285149887395296,1.1034469861986602,1.1539598094886023,1.143709497729191,1.1691777476447969,1.1186138129689485,1.1569808486176472,1.1147458074809198,1.1992158897543745,1.1284501030433576,1.103194305780305,1.15370590030641,1.1755979915503634,1.088410167680691,1.2709672147500795,1.129730035817577,1.0083651244836582,1.2511546150222224,1.006,0.897,1.132,1.15949517974549,1.15527550314493,1.17216082931709
2020-08-16,1.1165558463383214,1.0920172184763595,1.1414593543152893,1.14092846537891,1.1659094637879894,1.1163068743032685,1.153153684739384,1.1128003444536727,1.1935070250250952,1.1164926755905202,1.091772203759725,1.1412131474213154,1.178574536972964,1.0920638663646007,1.274226060599639,1.1562058876899988,1.0361316816103745,1.2777087258355626,1.002,0.885,1.119,1.10472845226734,1.09632047249647,1.1173494574451
2020-08-17,1.14904818199322,1.1244901008780177,1.1739612419769265,1.1364630781233553,1.1609578805279521,1.1123152645837173,1.1477747377323784,1.109154099194005,1.1863953762707518,1.1489876263097687,1.1242526002128657,1.1737226524066717,1.1813415484117575,1.0897231089447024,1.275634748769085,1.1852265576035752,1.0649722572469529,1.305817988141892,1,0.892,1.115,1.08791739135946,1.07951927956306,1.10052385438722
2020-08-18,1.1523432008215413,1.1281929412095653,1.1768356693727835,1.1305129331545671,1.1545301948827902,1.1068310863217932,1.1414107675700247,1.1040783403428902,1.1787431947971592,1.152284911705938,1.12796406036624,1.176605763045636,1.1811474941966449,1.0900447010360947,1.2761280988852748,1.1533783766720864,1.032503837999445,1.275787101684292,1.002,0.887,1.117,1.08791739135946,1.08371770978863,1.10052385438722
2020-08-19,1.1332176640215705,1.1097277817473383,1.1570367088753546,1.1227232895368742,1.1462720511195243,1.0994992794214984,1.1338095402470973,1.0968534947765771,1.1707655857176176,1.133161105532505,1.1095071399964707,1.1568150710685394,1.1762818534090014,1.0855222213721403,1.2715757960206202,1.111766905649491,0.991520640081154,1.2313010471846546,0.998,0.888,1.111,1.11314126210802,1.10893425763264,1.12576938833084
