date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2020-04-21,0.872103549488433,0.8247989169387593,0.7358700992244408,0.7550139458210144,0.7085236145075278,0.7626413514987633,0.6773757622371326,0.745,0.595488
2020-04-22,0.8479660240404867,0.8287033151489719,0.7234874104146829,0.7547040383529667,0.6803795374785867,0.7724440189088434,0.6468513502720665,0.752,0.640789
2020-04-23,0.8089670435016323,0.8080303291401,0.7142292233524252,0.7580035284729827,0.6745521075107171,0.7839808847356684,0.6375267406503654,0.758,0.6897265
2020-04-24,0.7834029998676075,0.8135223555070883,0.7085511799208911,0.7650836745464518,0.6421960187650564,0.797129924350188,0.6582233164901189,0.766,0.727576
2020-04-25,0.779145813634359,0.8251424157574587,0.7071818933600298,0.7755847161057751,0.6329056740151788,0.8111103958955567,0.6684811984816375,0.776,0.7176035000000001
2020-04-26,0.7806478495106319,0.817095402066032,0.7110675346812716,0.788279026121647,0.6543747086117708,0.8273755982949265,0.6601969925606241,0.783,0.6407544999999999
2020-04-27,0.7857434189605286,0.8168052889741949,0.7209259934957752,0.8019473420841203,0.6647925344293136,0.8444586759511689,0.6370710542014135,0.79,0.5673705
2020-04-28,0.7775156790801597,0.8079758713136729,0.7367353561114097,0.8157815593975658,0.6806218416619877,0.8610409421578634,0.5968950791024545,0.8,0.534986
2020-04-29,0.7472362760169563,0.8075122864498011,0.7578584746833655,0.8285710375533976,0.7106338436703913,0.8759551711408993,0.5641366308001209,0.809,0.537703
2020-04-30,0.7448450327056261,0.8144521566683193,0.7828879173010294,0.8390919312168355,0.733675735250205,0.889790954624655,0.5625705893216653,0.818,0.5747555
2020-05-01,0.7106845339973861,0.8231070496083551,0.8090348989076692,0.8464499232540048,0.7930634223824194,0.9015160844551615,0.5632467699786586,0.825,0.584735
2020-05-02,0.706080034657199,0.8510991289921195,0.8334910372234337,0.8505876940981085,0.8506903325577833,0.910459985240442,0.5963111321051542,0.834,0.551885
2020-05-03,0.735059235360867,0.861614258803072,0.8531162444143593,0.8519197844874046,0.8858828481646691,0.9161491470622017,0.6369265422389017,0.84,0.476264
2020-05-04,0.7424055562565449,0.88555775376655,0.8655438318357743,0.8512143802732693,0.9197907362511165,0.9193409470485212,0.6620429422120119,0.849,0.4199524999999999
2020-05-05,0.7506951045216111,0.9035685963521015,0.869918907533715,0.8492750762129994,0.9086782638565155,0.919489202067961,0.6878944502378901,0.857,0.4367385
2020-05-06,0.7726789440377834,0.8879142300194932,0.8674851266238889,0.846708385991141,0.8824492791236722,0.9167343832826722,0.7077811196700474,0.868,0.5287930000000001
2020-05-07,0.7828992352624892,0.8962327615203498,0.8603539280940153,0.8442876049724549,0.834866643007289,0.9129260672772451,0.7314454006906228,0.876,0.6681755
2020-05-08,0.8314671949407221,0.888125107406771,0.8521367015786594,0.843499721580738,0.8074860279422666,0.9064951809673422,0.7418971743865591,0.886,0.7912254999999999
2020-05-09,0.8710030015089517,0.8722134456731613,0.8442227537835945,0.8449517183629979,0.7867248670958098,0.8998432127906535,0.7461445705422833,0.892,0.842666
2020-05-10,0.8839606138191682,0.8680936699597512,0.8376338297705581,0.8490240645058394,0.8041059574393813,0.89140517732835,0.7410730126127892,0.9,0.7948205
2020-05-11,0.9016351601091526,0.8540063801838994,0.8324448062671835,0.8553409930241892,0.8052482221075231,0.88372270125877606,0.7408993257512074,0.909,0.7511445
2020-05-12,0.8829668801206876,0.8506191950464397,0.8290544849797792,0.8627549437644277,0.8148200783304005,0.8747674016927564,0.7173427630536005,0.917,0.746122
2020-05-13,0.8623531799010499,0.8490641980277722,0.8272611833536968,0.870322715931823,0.8368333983578937,0.8668703324206244,0.7002030696942738,0.93,0.78262
2020-05-14,0.8303505856716541,0.8889357218124342,0.8266309658775165,0.8767619838766602,0.7941122405212382,0.8596939056790953,0.7099228590177477,0.936,0.826726
2020-05-15,0.8259926488013464,0.9224346297517029,0.8267137600664224,0.8795829907088742,0.7856334841628959,0.8524249589274907,0.7227955602917229,0.947,0.8591395
2020-05-16,0.8250986450929926,0.9290263876251137,0.8277615673319407,0.8783199524514592,0.7907409714943304,0.8472737484960651,0.7396652995502249,0.956,0.8320115
2020-05-17,0.8581674221915294,0.9559137236311922,0.8299496186422697,0.8735118690093464,0.796956733303597,0.8427631052556108,0.7681264656647152,0.966,0.7447429999999999
2020-05-18,0.8594076044719589,0.9193930772878142,0.8344830127541506,0.8659921403424675,0.799506828528073,0.8391171568510557,0.7777381002595958,0.975,0.6804545
2020-05-19,0.8640223269247723,0.9173415912339209,0.8412212857339167,0.8568289717367139,0.8064847622884109,0.8384514675541872,0.7596628843805426,0.983,0.6814644999999999
2020-05-20,0.8794551440843997,0.9089128305582762,0.8488294937027627,0.8471766350929572,0.7909496476390819,0.8388761945627157,0.7200752946631256,0.988,0.7522825
2020-05-21,0.8250243551202177,0.848251921646417,0.8549081577663128,0.8386738148972042,0.8505382193723302,0.8408152255981366,0.6654791338240778,0.997,0.7673004999999999
2020-05-22,0.8212904738338919,0.8321299638989169,0.8571803344193214,0.8333743754426487,0.8558242043973665,0.8436504027318593,0.6895270975820762,1.005,0.776143
2020-05-23,0.8360419780627697,0.8195273954816931,0.855794763191399,0.832350792349961,0.8935276338653366,0.8496569317363638,0.726575119243623,1.011,0.73815
2020-05-24,0.8468655997837292,0.810614224137931,0.8516819277151192,0.8353995940917002,0.9136130435504491,0.8574347649064763,0.7745502430443105,1.017,0.6469165
2020-05-25,0.8486680339767303,0.8705057000876937,0.8460372392721648,0.8428358754576629,0.8516035451985577,0.8666947276160335,0.8224720770297789,1.019,0.5878165
2020-05-26,0.854080660169846,0.8893709327548807,0.8400296371493963,0.8547268724438647,0.7723185557507348,0.87966815718893,0.8306596275870503,1.024,0.6206855
2020-05-27,0.8335667862751669,0.905893536121673,0.8359817636282643,0.8701256688756416,0.7425262791680127,0.8948634544506138,0.7937887673447419,1.025,0.722329
2020-05-28,0.8971865410073028,0.936856098371552,0.8385965037645193,0.8874146217427842,0.7613312896868841,0.9128341853036102,0.7703957996242108,1.026,0.826925
2020-05-29,0.8887480152658864,0.9214237743451981,0.8503929457306718,0.9050798840640307,0.7927517673534024,0.9349935102137847,0.7499657175555281,1.026,0.8949595
2020-05-30,0.9164700407175645,0.9205574912891986,0.8706741062947796,0.9223233784797403,0.8025718428371086,0.961129656707836,0.7551636174819807,1.026,0.9105655
2020-05-31,0.923989011004102,0.8747813920951382,0.8949406615423543,0.9398010647180305,0.8330046049653902,0.9901774443024227,0.727359673179679,1.023,0.8342575
2020-06-01,0.8539588223290747,0.8886129833274211,0.918253548024013,0.9581332740123348,0.9342235259811198,1.021137995269164,0.6764433925146058,1.017,0.6993225
2020-06-02,0.7865572248177126,0.8932215743440233,0.9380660467964781,0.9786171164722307,1.0196923635373658,1.0565713696409054,0.6961963709592369,1.011,0.599919
2020-06-03,0.7858036109116887,0.9140802422407267,0.9538982378684876,1.0036855887840426,1.0611488052593874,1.0932628332132879,0.7829808874140497,1.005,0.6130705000000001
2020-06-04,0.8314491947457108,0.9544182327069173,0.9673779499133843,1.0357919042297454,0.9831130725077397,1.128892705462454,0.8731069652925143,0.999,0.7155285
2020-06-05,0.870790306175461,0.9564870259481038,0.9822408746751424,1.0768365531595074,0.9493833138690292,1.1629988144526633,0.8851001669711179,0.99,0.83172
2020-06-06,0.8686170323582673,0.9620563035495716,1.0046629138461043,1.1265228396567335,0.949011770140516,1.1921843234221903,0.8862559141079286,0.981,0.883301
2020-06-07,0.88659212327761,1.010351966873706,1.0423133478173419,1.179025383360814,0.9541248221755849,1.216122141127943,0.904884801171236,0.968,0.8418235000000001
2020-06-08,0.9744155726604447,1.0268118977796397,1.0985354214335126,1.2252977655532626,0.946020438451427,1.234301977718152,0.9286689166441136,0.962,0.8061035000000001
2020-06-09,1.022826078635616,1.0367278797996662,1.169748163965816,1.257438601372415,0.9953456595072376,1.2427518774919726,0.91548887681344715,0.955,0.834482
2020-06-10,1.0190406560875802,1.0640373197625106,1.2441753331630485,1.2693873695597375,1.156681564085246,1.2385184116936943,0.872422280431294,0.946,0.939619
2020-06-11,0.9208816814398032,1.0512295081967213,1.3067054229671582,1.259085175284795,1.3755354133366815,1.224335831901112,0.8349465327925929,0.935,0.9760495
2020-06-12,0.9083762273390432,1.0734394124847002,1.3429949869856066,1.2281953527634797,1.6508231711723864,1.1990285913828505,0.8828972686197996,0.933,1.001085
2020-06-13,0.9393503531063844,1.109098228663446,1.3469414169585578,1.1819583390487718,1.7220233375404088,1.1666588413383263,0.9884871883795254,0.932,0.9946185
2020-06-14,0.9636191981575492,1.19210840972499,1.3184941570117086,1.1278439812893195,1.6380085709750807,1.1263554961528417,1.088191851783764,0.931,0.9146215
2020-06-15,0.9595735009866431,1.4253411306042885,1.2622082575574698,1.0731149199956695,1.5606035590169416,1.0820561302488403,1.2075074375296553,0.93,0.8413085
