date,R.consensus,lower.consensus,upper.consensus,R.SDSC,upper.SDSC,lower.SDSC,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.globalrt,lower.globalrt,upper.globalrt,R.rtlive,lower.rtlive,upper.rtlive
2020-12-06,1.0920728965135356,1.086618356334448,1.09754565980228,1.1195355145783372,1.1251580439247006,1.113931747409833,1.1434161284252393,1.0833111887203797,1.203521068130099,1.1619244686046866,1.1561113391138336,1.1677375980955396,1.1149494558551392,1.0343564693712741,1.205042361519888,1.0909573197283855,0.95607471717633,1.2248765819727576,1.043,0.924,1.178
2020-12-07,1.0849013055624226,1.0795286590423434,1.090291748467195,1.1190482120637637,1.1246043085128774,1.113510445717578,1.1284538526423489,1.066449645568029,1.1904580597166687,1.1514129277207596,1.1457014494338322,1.157124406007687,1.0984928915685512,1.0194182276874417,1.1927913909286347,1.10222279576486,0.96812927656776,1.239560856008554,1.037,0.919,1.172
2020-12-08,1.089489964815779,1.084162151115954,1.0948352046990082,1.1162256085027777,1.1217090207035734,1.1107600957282884,1.1104438753577877,1.047339064903878,1.1735486858116972,1.1485522543341267,1.1429264203993992,1.1541780882688542,1.0784484799398282,1.0041882285759198,1.1707389120416907,1.1172449414618586,0.9825616190756182,1.2522788193181362,1.034,0.913,1.165
2020-12-09,1.0905562757176646,1.0852846532725458,1.0958449413808937,1.1108032274040787,1.1162085478589168,1.1054153856208493,1.0897163804418974,1.0265776033823237,1.1528551575014712,1.1434114041260746,1.1378753429119348,1.1489474653402143,1.0554258628963786,0.985182721651017,1.1418908713425546,1.1440615858480483,1.005934093816218,1.2817264894580296,1.028,0.909,1.163
2020-12-10,1.0862478229743504,1.081046169394396,1.0914661356670745,1.1029930085321928,1.1083166657268175,1.097686426367851,1.0661468137129868,1.0037112619708213,1.1285823654551523,1.1346262765238297,1.129184246954035,1.1400683060936245,1.0300502513260366,0.9585196540808693,1.1113486924934493,1.1752509211704876,1.0371306988959783,1.3106241839871484,1.018,0.902,1.147
2020-12-11,1.078843718213284,1.0737154460649503,1.0839882935035359,1.0933300916975452,1.098571091359575,1.0881057875782087,1.0400886558890983,0.9792694558986519,1.1009078558795447,1.1227979693036916,1.1174522693828337,1.1281436692245495,1.002781266880196,0.9301678487568004,1.0806568580493623,1.186930404426825,1.051150728408761,1.3240792539243271,1.013,0.893,1.137
2020-12-12,1.0657833699477945,1.0607356137889716,1.0708471147083805,1.0809804690347828,1.0861370015307976,1.0758402831596483,1.0129080192215851,0.9543669671004145,1.0714490713427558,1.1044105718699744,1.0991715779665885,1.1096495657733603,0.9761721669801684,0.9060312630609282,1.0476242285914967,1.171131907098523,1.035534628058824,1.305318964318535,1.005,0.888,1.119
2020-12-13,1.0575031488158306,1.0525148300106744,1.0625072039659147,1.064009637407471,1.0690762783500951,1.0589590299316445,0.9854639653662741,0.9292981971709046,1.0416297335616438,1.0889323583818475,1.0837876761018121,1.094077040661883,0.9496935585584374,0.8797230689163572,1.017247811972113,1.1417687556963636,1.0079164907598326,1.277418686216436,0.997,0.885,1.113
2020-12-14,1.049813235099427,1.044876574221184,1.0547654208278776,1.0412546843615678,1.0462242878524464,1.0363008430446816,0.9584804361317534,0.9048576492667336,1.012103222996773,1.0738526931270105,1.0687950410582734,1.0789103451957476,0.9259634325963008,0.8539787071351269,0.9951876990032171,1.1211317726005283,0.9867741149384244,1.257272829050519,0.988,0.881,1.116
2020-12-15,1.0502757716245459,1.0453666486378372,1.0552002396902427,1.0133654050557657,1.0182338256932582,1.0085125272676132,0.9336873702010791,0.8823183240879191,0.985056416314239,1.0678262133885734,1.0628272493918358,1.072825177385311,0.9045547117161741,0.8315992631086304,0.976740044899623,1.1095146558794942,0.973580386175809,1.2449959746903148,0.983,0.874,1.097
2020-12-16,1.0529215664964464,1.0480353248946732,1.057822971923555,0.9824647468943597,0.9872347787441775,0.977710104788987,0.9123198321991496,0.8622839081665706,0.9623557562317285,1.0670177664949239,1.0620584188353115,1.0719771141545362,0.8864364090798378,0.8116742258502984,0.9607666439095484,1.1152021280362898,0.9802080565128164,1.2529079000569134,0.974,0.864,1.084
