date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive,HZI
2020-06-29,0.9132418652012074,0.9285948247625286,0.8858847908519796,0.9258710114546836,0.79388201019665,0.874124137950036,0.9247817058815831,1.043,1.0920240414285716
2020-06-30,0.9075649380341393,0.9457337883959044,0.8934011959088398,0.9401627128940188,0.979446840903324,0.8988405153699524,0.8688496512139844,1.051,0.9857142857142858
2020-07-01,0.9211972736469984,0.9405217391304348,0.9065088478770741,0.9582943838852408,1.195400249598859,0.9256900692765907,0.8291754078979373,1.061,0.8992511328571429
2020-07-02,0.9111870615751443,0.9250883392226148,0.9250500348001086,0.9825007205170802,1.1824652723338875,0.954429756301886,0.8234885356124793,1.072,0.83234608
2020-07-03,0.8852228556493643,0.9044091710758377,0.9477048771169811,1.0133895724353552,1.223165574458469,0.9835972682378027,0.8320044357316674,1.083,0.7811309285714286
2020-07-04,0.9010390819444015,0.9177192349332371,0.974200184833498,1.0486805877120577,0.7979549572870827,1.0132629381118183,0.8697728523809303,1.091,0.7455892457142858
2020-07-05,0.9052767296923655,0.9201183431952663,1.002194383712546,1.0832780999915899,0.3635054322301888,1.044386251864085,0.8937890949928229,1.101,0.7216358871428571
2020-07-06,0.896310134783836,0.9278074866310161,1.0321101810005675,1.1125490592898128,0.8928406892103566,1.0738009984166852,0.8897472406661172,1.11,0.7065857842857143
2020-07-07,0.8965425606074315,0.9286271450858035,1.0631514495508316,1.1361079819198616,1.3032056293979672,1.1009161844767115,0.8729326524307484,1.116,0.6999983914285715
2020-07-08,0.9095929852887604,0.9500589854502556,1.094538695018282,1.1571470205855108,1.543874440625203,1.124630663045032,0.8705187606026922,1.119,0.7035165342857143
2020-07-09,0.9119848927328872,1.005225080385852,1.1247700533300764,1.1793904651649725,1.6243017221432585,1.1451595542945827,0.8831806066633932,1.119,0.7161133571428572
2020-07-10,0.9298181741932533,1.065459036640593,1.1490613931090206,1.203171686005747,1.4859867652783185,1.161660044181119,0.9146974784335572,1.124,0.7379413328571428
2020-07-11,0.9401423477461983,1.115497690046199,1.1659402912514418,1.2250107358846951,1.1815650151482695,1.175070819979718,0.9518957422802166,1.124,0.7648957914285714
