date,R.RKI,lower.RKI,upper.RKI,R.ETH,lower.ETH,upper.ETH,R.Ilmenau,lower.Ilmenau,upper.Ilmenau,R.SDSC,lower.SDSC,upper.SDSC,R.globalrt,lower.globalrt,upper.globalrt,R.epiforecasts,lower.epiforecasts,upper.epiforecasts,R.rtlive,lower.rtlive,upper.rtlive,R.HZI,lower.HZI,upper.HZI
2021-02-27,1,1,1.01,1.088292213485056,1.0187983137518883,1.1577861132182239,1.03639664347001,1.01409619773137,1.05869708920865,1.05720352425283,1.04605817628505,1.06840711612672,1.03396292071191,0.763049001813396,1.30242201288118,NA,NA,NA,1.126,0.988,1.282,1.2300405,1.224151,1.23232955
2021-02-28,1.02,1.01,1.02,1.113858904500439,1.0421037720045596,1.1856140369963184,0.403368599441231,0.389737773106763,0.4169994257757,1.06609498168944,1.05495704703837,1.07729059494722,1.0416247456854,0.769411090389765,1.30761762963163,NA,NA,NA,1.13,1,1.277,1.125363,1.121060775,1.131179275
2021-03-01,1.02,1.01,1.02,1.1342905602888789,1.059709071530272,1.2088720490474858,0.554566067329617,0.538942553983454,0.570189580675779,1.07756406644001,1.06642856430722,1.08875660513296,1.04440574782039,0.77346699363639,1.31417014084661,NA,NA,NA,1.135,1.004,1.289,0.988428,0.98340895,1.00141635
2021-03-02,1.04,1.03,1.04,1.1479963376994016,1.0724038638819833,1.22358881151682,1.3205239974012,1.29638385091661,1.34466414388579,1.0921266721892,1.08098790414918,1.10332174549307,1.04623223330523,0.772892391533251,1.31559625553589,NA,NA,NA,1.138,1.007,1.287,0.9713985,0.966991125,0.98426665
2021-03-03,1.05,1.05,1.06,1.1576426713941272,1.0851684066305836,1.230116936157671,1.67457451265987,1.64682376067318,1.70232526464656,1.10929275125427,1.09815038091137,1.12049058714442,1.05658547484654,0.782573659415684,1.32610865537627,NA,NA,NA,1.137,1.006,1.283,1.0310175,1.028193,1.03974535
2021-03-04,1.06,1.06,1.06,1.1676402191070328,1.1007735259048192,1.2345069123092465,1.62337965313667,1.59562700597818,1.65113230029516,1.12789367552859,1.11675672402436,1.13908512019096,1.07309416767702,0.798722558282534,1.34365056128977,NA,NA,NA,1.138,1.007,1.269,1.103444,1.10013445,1.10831115
2021-03-05,1.08,1.08,1.09,1.179840523706963,1.1160188715655106,1.2436621758484148,1.52390062786522,1.49722009212375,1.55058116360669,1.14663640163102,1.13552331336639,1.15780285801948,1.08752126089552,0.810570054124435,1.35951406502579,NA,NA,NA,1.14,1.005,1.275,1.1606565,1.156922425,1.16550695
2021-03-06,1.1,1.09,1.1,1.1919861213131098,1.125547303492369,1.2584249391338505,1.20589852089539,1.18281205301561,1.22898498877516,1.16465654177738,1.15359155087145,1.17577361629464,1.10290779615458,0.827000954227978,1.3782096070522,NA,NA,NA,1.139,1.014,1.275,1.173947,1.1691029249999998,1.18044295
2021-03-07,1.12,1.11,1.12,1.199786614043996,1.1277313718425048,1.271841856245487,0.511925210486301,0.497514901171557,0.526335519801045,1.18101792364505,1.170029528284,1.19205696749428,1.11704422113337,0.840380790279281,1.39450970863096,NA,NA,NA,1.137,1.013,1.278,1.069013,1.063630625,1.0801721
2021-03-08,1.14,1.13,1.14,1.1994554427567576,1.123156073617806,1.2757548118957094,0.6644060681274,0.648641067380521,0.680171068874279,1.19399709847151,1.1831199739665,1.20492330668897,1.12742523505848,0.854275659523732,1.39728035735102,NA,NA,NA,1.136,1.007,1.275,0.935988,0.931139225,0.951410075
