date,3.6(3.1),3.6(3.1).lower,3.6(3.1).upper,4(0),4(0).lower,4(0).upper,4(4),4(4).lower,4(4).upper,4.7(2.9),4.7(2.9).lower,4.7(2.9).upper,4.8(2.3),4.8(2.3).lower,4.8(2.3).upper,5.6(4.2),5.6(4.2).lower,5.6(4.2).upper,7(7),7(7).lower,7(7).upper,10.3(7.6),10.3(7.6).lower,10.3(7.6).upper
2020-03-18,1.9897162072831986,1.9559768704765217,2.023841319750936,2.425744998927888,2.384611983462486,2.467348329394544,2.025858443114932,1.9915062475180367,2.060603421801821,2.576028809177514,2.5323474523596907,2.620209618737961,2.7644595390315985,2.717582988931435,2.811872075722332,2.789991445164246,2.742681954136541,2.837841873030165,2.842941627157597,2.7947342673696594,2.891700190017389,5.108703184540259,5.0220756259177675,5.196321242883747
2020-03-19,1.9150523175752958,1.8857251883520738,1.9446819495118355,2.571724670518867,2.5323412546995296,2.611514317376177,1.9491441337555038,1.9192949221382942,1.9793012332479933,2.487720711581873,2.4496237331806663,2.526210651709673,2.6818767199898397,2.6408064346477267,2.72337063604801,2.6865555853318197,2.645413647801804,2.7281218926540256,2.73247345464957,2.690628330436466,2.77475020186666,4.8916975783043535,4.816786075530638,4.967381776307641
2020-03-20,1.7644407354991525,1.7393168210242278,1.7898054315601117,2.350769950360661,2.3172972799587415,2.3845634148281807,1.7989541925976604,1.7733388401690935,1.824815036436045,2.2724223935288137,2.2400653158909694,2.3050895736580856,2.4488091811586346,2.413940527768905,2.4840120073809637,2.4552658790512183,2.420305288583422,2.4905615234545766,2.506721440130343,2.4710281726789556,2.5427567833182283,4.437630125663698,4.374442602554862,4.501423222877912
2020-03-21,1.6053218174965413,1.5835901712076548,1.6272513763399927,1.99887094817436,1.9718117280544976,2.0261765996647347,1.642998510423108,1.620756825240405,1.6654427531421254,2.0170589590602055,1.9897535232501546,2.044613068554838,2.154344621132416,2.12518071469288,2.183774126558233,2.1873612727466223,2.1577504115677293,2.217241803379034,2.2577636082283083,2.2271996928792643,2.2886058726027243,3.8961078437378083,3.8433652492993264,3.9493307709343766
2020-03-22,1.4527951821916458,1.4336938496191955,1.4720654262496826,1.6676509037994158,1.6457246509327417,1.689771048685456,1.4926878726344648,1.473062031475602,1.512487263464454,1.7637794010645331,1.7405892519388,1.7871746187384914,1.8543981214270493,1.830016518518875,1.8789953288095487,1.9212212018164379,1.8959610098974524,1.9467047674988531,2.011879675116046,1.9854275067435085,2.038565757800051,3.3427097914373016,3.2987598856266924,3.387048342587376
2020-03-23,1.3834506056800813,1.365902411000516,1.4011484589994878,1.4602377633819628,1.4417155722425956,1.478917919826788,1.4263284130348906,1.4082363405270848,1.4445747826093103,1.615726858797309,1.5952323869666793,1.6363961164013154,1.6681112245254532,1.6469522901949059,1.6894506114546994,1.7658296683381578,1.7434312374410044,1.7884191228000628,1.877837231480211,1.8540180555882375,1.9018595476684494,2.978134228147034,2.9403584817612707,3.016232142535051
2020-03-24,1.348206707931985,1.331730530290052,1.3648182240888977,1.3594476594857212,1.3428341083137691,1.376197677585441,1.3902792415484524,1.3732889034787208,1.4074091415465226,1.5297845256395863,1.5110893200379318,1.54863329728176,1.555782671686099,1.5367697476885167,1.5749517715246544,1.67108656790221,1.6506645369289046,1.691676349394165,1.7942593351825564,1.7723320332575345,1.8163667522134321,2.724412825211988,2.691118294474185,2.7579808436752162
2020-03-25,1.3297397439974146,1.3141076393908526,1.345495328776112,1.3276719205179475,1.3120641247530853,1.3434030044360177,1.369643197038321,1.3535419969152007,1.3858715827844155,1.4822312402650244,1.4648064818462958,1.499793639278101,1.4955798973757493,1.4779982153144402,1.5133004595931216,1.612886799001572,1.5939260848660812,1.631997286459605,1.7393084710081748,1.718861573722737,1.7599168811839099,2.546993168519469,2.5170513217616928,2.5771715300962508
2020-03-26,1.2996788739209246,1.2848810679810878,1.3145898623919874,1.3351221121817818,1.3199207587409525,1.3504397347281452,1.3363894697975105,1.3211736865521884,1.351721632516201,1.4341948210223514,1.4178654514624836,1.4506490874343352,1.4436808244183192,1.4272434496887014,1.460243922088633,1.5521655462148787,1.5344929926323958,1.5699732701297624,1.6752911671172395,1.6562167372090772,1.6945114897521658,2.382409322537895,2.3552838290551725,2.409742288130037
2020-03-27,1.2771816638911295,1.2630880742685853,1.2913797036120083,1.3227897651055818,1.3081928940156058,1.3374948162023237,1.3118093939741817,1.2973336903336017,1.326392379628018,1.3974407547635268,1.3820201164344013,1.4129756781848815,1.4065901493597257,1.391068548249518,1.422226783815283,1.5045122153327977,1.4879100526612756,1.5212374195835088,1.6242545082458166,1.6063309996886692,1.642310851111428,2.250956402330019,2.226117292366581,2.2759795993534393
