date,1,1.lower,1.upper,3,3.lower,3.upper,4,4.lower,4.upper,7,7.lower,7.upper,10,10.lower,10.upper
2020-10-04,0.488018446426841,0.46021962488836504,0.5169148029634809,0.8679577075629026,0.8463806275069593,0.8898984244785174,0.9868257835843003,0.9665421323133494,1.007391248898831,1.0979727106757795,1.080796697950477,1.1153297409039147,1.018033299513331,1.0041294528921294,1.032064905685326
2020-10-05,1.2071335462535693,1.1593206933727869,1.2562432863727102,0.8370756317499143,0.8154205732670005,0.8591107342530352,0.9421795015514547,0.9222866140341954,0.9623564016654846,1.1107860437828097,1.0937203888601263,1.128028302834809,1.021436623604204,1.007522897082133,1.035477861942362
2020-10-06,1.6964776334578233,1.6406857233050072,1.7535202528017881,1.1006432875783831,1.0750509320264965,1.1266386201023992,1.0373042476588987,1.0161533325362635,1.0587466467472342,1.1729589976098278,1.1556592096634155,1.1904305779197983,1.1069384959632416,1.0924588996267728,1.1215454736890769
2020-10-07,1.7595344716964276,1.7077851425832806,1.8123188016046126,1.5716476544395421,1.5413587388018577,1.6023307964099542,1.2852428905258406,1.261740537858858,1.3090352985808327,1.2305876462714458,1.213252715198621,1.2480869171619424,1.2470081067207774,1.2318369073026485,1.2623033626345763
2020-10-08,1.510890539636329,1.467450101933953,1.5551799404651194,1.6428214462857131,1.61405677417958,1.6719258560016599,1.552343702590875,1.5274404613128605,1.5775161644874895,1.26117867158019,1.244148975365574,1.278363063178034,1.2927391982893954,1.277786323949701,1.3078082742492059
2020-10-09,1.4307013973122826,1.391142143589652,1.4710035917632858,1.5487180871614026,1.5230608206881284,1.5746618946228537,1.5762279087104176,1.5528664267575962,1.5998225259862833,1.2951751728457535,1.2784924924197183,1.3120023510419179,1.3137838718946204,1.2992891467582581,1.3283859993631795
2020-10-10,0.8969840797405241,0.8673156421128195,0.9273215123296984,1.2556055142191875,1.2340805976089344,1.2773792806304065,1.3532506266442423,1.3331708286286648,1.3735310435201762,1.2692695450845113,1.2533674166018407,1.2853056139815806,1.2405219315052516,1.227000263096152,1.2541425770721895
2020-10-11,0.601075333617091,0.5764431627354695,0.6263994238641097,0.9647298087487884,0.9464710901776623,0.9832218551433751,1.0824419788089024,1.0652945442065131,1.0997724421082051,1.2375324136361037,1.2223622060830415,1.2528276190052718,1.1429760592239493,1.1303938039092358,1.1556513375448307
2020-10-12,1.2801278316339906,1.2414716747623362,1.3195782187577783,0.9099327999374348,0.892022203993582,0.9280815538747464,1.0363143889128954,1.0196608426067673,1.0531482845288065,1.2466120857567649,1.2318285027248883,1.2615134801660348,1.1496856796503447,1.1372769646430292,1.1621843282924988
2020-10-13,1.525390943007921,1.4843126185323399,1.5672202638564465,1.117796251566376,1.097536935950649,1.13830335659688,1.0580833950754327,1.0412330703601174,1.0751145399158362,1.2478898742078035,1.2335398058923366,1.2623508052928158,1.2161067035287492,1.20355645969407,1.2287438918624207
2020-10-14,1.7817055793658987,1.7403998949007808,1.8236597036109399,1.546247517032314,1.5226779298225697,1.5700590817244402,1.301324921353896,1.2827072437687346,1.3201218826476497,1.2821629456480252,1.2680580739176193,1.2963720259373404,1.3426729335585186,1.3298300490906678,1.3555982401923308
2020-10-15,1.58996935051019,1.5546005572963217,1.6258705716532342,1.6340427876981416,1.6114360804715435,1.6568599447326897,1.5598861364940535,1.5402391315106594,1.5796995111931802,1.312144038038773,1.2983666596162857,1.3260185375759876,1.3856475507307353,1.3731558437927716,1.3982147876546944
2020-10-16,1.378129799021432,1.3476371496234456,1.4090789835941935,1.5599191490635982,1.539586408367101,1.5804301246712862,1.5532763580443576,1.5350282693880692,1.57166849653749,1.3107939058115639,1.2975539753349266,1.3241235962007476,1.3675358757695635,1.3557291607995103,1.3794109404650046
2020-10-17,0.8954310258008595,0.8720055061753414,0.9192723721448683,1.2602230446455551,1.2432115234978784,1.2773890477727252,1.3605364304101977,1.344642144515205,1.3765554774579716,1.2792335517016018,1.2666564165653353,1.2918936681948696,1.2733148685199016,1.262443733454025,1.2842482340946626
2020-10-18,0.6117793555384297,0.5920921570087889,0.6318981971528702,0.9532728055868329,0.9389617116958145,0.967728580275846,1.0892980926126783,1.075720762702271,1.102989190013308,1.2354180198876226,1.2234815164609572,1.2474319084706744,1.1679917173207337,1.1579305638754114,1.178110982982306
2020-10-19,1.2290390924113166,1.1991242250464704,1.2594474016948276,0.8981821176828813,0.8841261049150877,0.912386323916459,1.0157763925002292,1.0027760163753352,1.028888647391343,1.2303617492355592,1.2187874376897867,1.2420091074708723,1.1551407212161862,1.1453268594758836,1.165010484288188
2020-10-20,1.6979017600161528,1.6634458921228674,1.732830177886546,1.1612083897896635,1.1448643505918015,1.1777072451565698,1.0890833332152083,1.0755640191648959,1.102715462958716,1.2715753851573741,1.2601306102471337,1.283089247133594,1.2380389323049044,1.2280495931472837,1.2480822961016254
2020-10-21,1.852047413215457,1.8192094904222509,1.8852781431776953,1.6144706214940543,1.5955169414516202,1.6335738153326709,1.356494991376076,1.3415185602882578,1.371582472421724,1.316222279280095,1.3049604653617135,1.3275487005934679,1.3646881208620976,1.3544967595397313,1.3749304749521538
2020-10-22,1.6750938332296155,1.6470605453193239,1.703443419381598,1.7388120308932975,1.7206169340761472,1.7571349503097193,1.6339156198548483,1.6181921807318587,1.649740583626585,1.3532386589950234,1.3422638104255449,1.364273168134472,1.4152541362775064,1.4053436612162875,1.425211094599539
2020-10-23,1.4239367593548213,1.4002220145785291,1.447917766794322,1.6229910244961114,1.6070042489419079,1.6390834764317097,1.6366701685736667,1.6221522939445272,1.6512744069188956,1.364751746275639,1.354210116644019,1.3753479409024278,1.4104898735489033,1.4011093275015072,1.4199121954981264
2020-10-24,1.010883229849311,0.9919393787271902,1.0300667502591334,1.3401030168140338,1.3266845296479413,1.3536116795209443,1.435674694148348,1.4231439935859636,1.4482787344847956,1.3474410619290775,1.337436789245801,1.3574950998701745,1.3261843501804134,1.3175500471185513,1.3348562932333814
2020-10-25,0.6857644283521956,0.6701338661940326,0.7016361725648416,1.0276895027038773,1.0164316513047023,1.0390301757572864,1.1620213985108188,1.1513581568304214,1.1727502758832344,1.3000428265054984,1.2906344403050842,1.3094968251079715,1.216918118111838,1.2089791252408773,1.2248917904285634
2020-10-26,1.2344503709155898,1.2122733708867501,1.2568962029747477,0.9679571446004067,0.9570163655329169,0.9789809922847568,1.0763746305558957,1.0662955065428974,1.0865170704298972,1.2958045425646159,1.2867537157300677,1.304897711643645,1.2074367439266307,1.1997300974376353,1.2151763231710624
2020-10-27,1.5568747600946164,1.532483230429136,1.5815237432161393,1.147391789547172,1.1353316084341079,1.1595370768496955,1.1116094542555297,1.1014074697001872,1.1218742436538265,1.3022311803517925,1.293478831492755,1.3110229224086143,1.273621296354069,1.2658914767591996,1.281382518776482
2020-10-28,1.6285294567873456,1.6053708557735575,1.651909713727392,1.4845401141256356,1.471024007590174,1.4981387609517505,1.280865639590636,1.2700266506427318,1.2917661237584197,1.3048777559794589,1.2964365117836667,1.3133555621641928,1.365704989235186,1.3579619294725682,1.373477427012318
2020-10-29,1.4194064059394107,1.3994782384639777,1.4395228625831509,1.5271736092790296,1.5142821956498678,1.5401379810853297,1.4646810650715498,1.4534813844336865,1.475938130637191,1.2858201840801737,1.2777513205027453,1.29392294571681,1.3807670420914009,1.3733311421832182,1.3882297347983523
2020-10-30,1.2494602889285373,1.231758616151887,1.2673307494560422,1.4153609263133,1.4037813267057935,1.4270040305510983,1.4433532020413495,1.432876924443711,1.4538804195184225,1.2626386765783448,1.254921115294445,1.2703878143609189,1.3455377604157714,1.3385449727628826,1.3525548601114832
2020-10-31,0.8419846148195894,0.8278885360706615,0.8562397979440934,1.1547831436917297,1.144868558084828,1.1647548051075327,1.2517844683037693,1.2425754015214283,1.2610389236982256,1.2154698066700127,1.2081381790802332,1.2228310359243955,1.24626792221547,1.2398244922299655,1.2527336381774492
2020-11-01,0.6637508090388381,0.650912644178469,0.6767566822650484,0.9163275529238936,0.9076581112282778,0.9250520234452725,1.0300960938149049,1.0220057787235124,1.0382289925881392,1.1847531474318262,1.177701659409034,1.1918327266287885,1.1449696989807034,1.138978001149773,1.1509823733081561
2020-11-02,1.09885331379301,1.081332187236848,1.1165626926071566,0.859145712283797,0.8506073279266662,0.8677410451774942,0.9576058675603238,0.9498063456584491,0.9654479712622477,1.1675132386519598,1.160664529497294,1.1743888363260422,1.1187110637575624,1.1128827964350256,1.1245596444217032
