date,consensus,RKI,SDSC,ETH,Ilmenau,epiforecasts,globalrt,rtlive
2020-05-03,0.8839606138191682,0.8879142300194932,0.8450522585651639,0.8347586605141746,0.8838888423062914,0.8143757404285672,0.8836635946268597,0.841
2020-05-04,0.9016351601091526,0.8962327615203498,0.8540263664983718,0.842586847897704,0.9015621672043178,0.8327794036158267,0.8797998629986965,0.85
2020-05-05,0.8829668801206876,0.888125107406771,0.8578675424752177,0.8483000806673016,0.8828917742876726,0.8495689126724648,0.8538205713866662,0.855
2020-05-06,0.8623531799010499,0.8722134456731613,0.8577725074168582,0.8520371489863462,0.862275389433045,0.8632559157490907,0.8372175309350036,0.862
2020-05-07,0.8303505856716541,0.8680936699597512,0.855111442775899,0.8541377900542605,0.8302690410308111,0.8756375725102312,0.8456536226192088,0.869
2020-05-08,0.8259926488013464,0.8540063801838994,0.852447625459233,0.8550843496027194,0.8259073058054395,0.8847740140621233,0.855468737976528,0.878
2020-05-09,0.8250986450929926,0.8506191950464397,0.8499323751510095,0.8553010395177046,0.8250092955885842,0.8914590197404542,0.8681288067667935,0.881
2020-05-10,0.8581674221915294,0.8490641980277722,0.8478775603407419,0.8550350228408199,0.8580752191559471,0.8948606535841008,0.893040216424025,0.888
2020-05-11,0.8594076044719589,0.8889357218124342,0.8461203186983354,0.8548109528786755,0.8593121659299036,0.8945636808419664,0.9022022371313384,0.897
2020-05-12,0.8640223269247723,0.9224346297517029,0.8451465447269494,0.8559166120731152,0.8639238358661226,0.8921923850617841,0.8820588581628376,0.903
2020-05-13,0.8794551440843997,0.9290263876251137,0.8448468085256106,0.8586003386844697,0.8793539791568022,0.8871407167000057,0.8444387831562459,0.911
2020-05-14,0.8250243551202177,0.9559137236311922,0.8449326139263239,0.863017384048638,0.8249179163358813,0.8805625473130401,0.7943632566916623,0.916
2020-05-15,0.8212904738338919,0.9193930772878142,0.8451856516200874,0.8687363271890102,0.8211790883610035,0.8736397019139255,0.8231668379040145,0.925
2020-05-16,0.8360419780627697,0.9173415912339209,0.8461094124615628,0.8747630345315941,0.835925872756283,0.8651162315701477,0.857808240013423,0.932
2020-05-17,0.8468655997837292,0.9089128305582762,0.8479324677045741,0.880571170538066,0.8467450829973446,0.8566123381077826,0.9027026859171622,0.937
2020-05-18,0.8486680339767303,0.848251921646417,0.8518398056714407,0.8853006338163908,0.8485429823662718,0.847723639223545,0.9467805679759947,0.944
2020-05-19,0.854080660169846,0.8321299638989169,0.8574064425849248,0.8868660893747216,0.8539511686404939,0.8390490446329022,0.9520028074832416,0.954
2020-05-20,0.8335667862751669,0.8195273954816931,0.863197531537293,0.8854754669538523,0.8334314559210688,0.8310496518104122,0.9086371342864928,0.96
2020-05-21,0.8971865410073028,0.810614224137931,0.8671739415127182,0.8819339323676123,0.8970490530527769,0.8248022536796008,0.8824891999961596,0.969
2020-05-22,0.8887480152658864,0.8705057000876937,0.8678281992965374,0.8767974452732104,0.8886065892773013,0.8222066680037068,0.8590500389063243,0.976
2020-05-23,0.9164700407175645,0.8893709327548807,0.8661141932408363,0.8706751096624691,0.9163267430312322,0.8177674897439484,0.8609843268655079,0.985
2020-05-24,0.923989011004102,0.905893536121673,0.8630517200592512,0.8642683010199597,0.9238433854459245,0.8154360487815596,0.8354091142522332,0.994
2020-05-25,0.8539588223290747,0.936856098371552,0.859381391101312,0.8588298268497768,0.8538064699479156,0.8144236784879719,0.7956290379541338,0.998
2020-05-26,0.7865572248177126,0.9214237743451981,0.8557091238436438,0.8560017656407594,0.7863948573179635,0.8157541762390035,0.8364357956793942,1.007
2020-05-27,0.7858036109116887,0.9205574912891986,0.8539163994644348,0.856325088955247,0.7856313688599067,0.8182129032074499,0.9374657905277082,1.013
2020-05-28,0.8314491947457108,0.8747813920951382,0.8581723525855103,0.8592384345746997,0.8312697490158555,0.822935621855114,1.0130461724584874,1.018
2020-05-29,0.870790306175461,0.8886129833274211,0.8697813863080504,0.8651583376696087,0.8706058811075081,0.8298841966212117,1.006212479216261,1.021
2020-05-30,0.8686170323582673,0.8932215743440233,0.8869563545481389,0.874284313984605,0.8684268534231805,0.8390648034142363,0.9920309501504376,1.025
2020-05-31,0.88659212327761,0.9140802422407267,0.9051376085450538,0.8857311729210142,0.8863975225946585,0.8500966123022997,0.994792086371032,1.026
2020-06-01,0.9744155726604447,0.9544182327069173,0.9208683569627618,0.8981716657950346,0.9742228555174995,0.8646065890108652,1.0076089048833696,1.033
2020-06-02,1.022826078635616,0.9564870259481038,0.9337350483665164,0.9106740427186951,1.0226368235103962,0.8828995834664877,0.9930412492440072,1.031
2020-06-03,1.0190406560875802,0.9620563035495716,0.9445709001098395,0.9230512562351969,1.0188533673790414,0.9050526184698833,0.961425748898879,1.031
2020-06-04,0.9208816814398032,1.010351966873706,0.9551364189584752,0.9362924773536221,0.9206882852229122,0.9301225768592998,0.9331625068032402,1.027
2020-06-05,0.9083762273390432,1.0268118977796397,0.9683680027231744,0.9508167269953863,0.9081779975420476,0.9590810009675714,0.9819322483366308,1.031
2020-06-06,0.9393503531063844,1.0367278797996662,0.9889153149992459,0.9675174418027027,0.9391493384452666,0.9934173946778065,1.067875209061175,1.025
2020-06-07,0.9636191981575492,1.0640373197625106,1.022119065509276,0.9882743177542865,0.9634169780548745,1.0309562141718076,1.1438403066951988,1.017
2020-06-08,0.9595735009866431,1.0512295081967213,1.0682726677912875,1.0146353556167838,0.9593693454621753,1.0724164041478814,1.2361270475124306,1.011
2020-06-09,1.0114253377903937,1.0734394124847002,1.1217131755848757,1.0474305325757458,1.0112238781900198,1.1148081284980789,1.382543992188217,1.003
2020-06-10,1.1591111859953023,1.109098228663446,1.1717708847279336,1.0854703504554184,1.1589233515212334,1.156271326882922,1.4927466815852384,0.994
2020-06-11,1.307753301456622,1.19210840972499,1.2087859372658951,1.1229803743588163,1.3075859295296388,1.1949970826936562,1.4554840344549422,0.985
2020-06-12,1.4456167951779553,1.4253411306042885,1.2260892488175392,1.153196323402058,1.4454734444230133,1.228798560327494,1.3818878352512334,0.976
2020-06-13,1.3765725942447071,1.475864690231851,1.2236170412415595,1.1722214724476938,1.3764405001759787,1.2542609212807263,1.2260857002896697,0.964
2020-06-14,1.2606599264410352,1.4707803992740471,1.2028392591770225,1.1776028095971063,1.260533341940508,1.2694516612943727,1.0858382546299352,0.949
2020-06-15,1.2313411572710602,1.4205951186894015,1.1661188095798098,1.169230940068196,1.2312209508130205,1.2720383439067013,0.9835867003876576,0.946
2020-06-16,1.1754904606833885,1.1920131291028446,1.1188443328621547,1.1486349027623493,1.175373688194658,1.262534897442333,0.8995416437410251,0.937
2020-06-17,1.037740869498168,1.1254184908575844,1.0688685240773477,1.1192052992068617,1.037621740602411,1.2398472156914515,0.8501367943705321,0.931
2020-06-18,0.982600980322731,1.035538005923001,1.0218338827415172,1.0855477816695935,0.982479583632001,1.2082556165734464,0.8888096382150321,0.926
2020-06-19,0.8868350198896565,0.8265474229230407,0.9821434900469537,1.0518582543248844,0.8867070721941201,1.1654138792009354,0.9120797456638404,0.924
2020-06-20,0.8550876903568757,0.7620468104635154,0.9497415573982707,1.0200516180813874,0.8549532480379808,1.1173076312007941,0.9290542882284664,0.92
2020-06-21,0.889570350488139,0.7308924485125858,0.9245102394605906,0.9916185189242703,0.8894315517688602,1.0661705635501053,0.9470102394815612,0.922
2020-06-22,0.9132418652012074,0.7275977121067684,0.9082096815922323,0.9673162630888794,0.9130998006547895,1.0149324107698652,0.9369432443963563,0.926
2020-06-23,0.9075649380341393,0.8342824601366743,0.9011831929152271,0.948037535777192,0.9074192584438948,0.9670061696206251,0.8936316036233851,0.926
2020-06-24,0.9211972736469984,0.8657031014754591,0.9000030874916795,0.932711651833863,0.9210489608454071,0.923025206413185,0.8689835512801272,0.934
2020-06-25,0.9111870615751443,0.8860363180964308,0.9015118610614136,0.9216987079522714,0.9110350855962414,0.8842972903065796,0.8805046626507468,0.938
2020-06-26,0.8852228556493643,0.9285948247625286,0.9026477917170413,0.9142586785395257,0.8850657863850669,0.8530447734586679,0.8932178146997608,0.946
2020-06-27,0.9010390819444015,0.9457337883959044,0.902807874659211,0.9095268465004155,0.9008782574562684,0.8290451446211182,0.9230470718937434,0.953
2020-06-28,0.9052767296923655,0.9405217391304348,0.9034466300302485,0.9073949090983678,0.9051119230562722,0.8119444584801667,0.9426187456610876,0.967
2020-06-29,0.896310134783836,0.9250883392226148,0.905314592085623,0.907824467623909,0.896140770677013,0.8018198319536175,0.945240779700032,0.978
2020-06-30,0.8965425606074315,0.9044091710758377,0.9078923471743692,0.9097991924559051,0.8963687207150635,0.7979430960706368,0.9371914137966708,0.987
2020-07-01,0.9095929852887604,0.9177192349332371,0.9129106794070433,0.9132530685400624,0.9094154401369562,0.8026849861322223,0.9429453706292756,0.997
2020-07-02,0.9119848927328872,0.9201183431952663,0.9203801775347153,0.9169428207308589,0.9118034768811318,0.8128113622459963,0.9591743949925118,1.011
2020-07-03,0.9298181741932533,0.9278074866310161,0.9317489901753,0.9216569631935158,0.9296341949697051,0.828218528830006,0.9838845444645268,1.022
2020-07-04,0.9401423477461983,0.9286271450858035,0.9466931366400659,0.9287490958576625,0.9399560510357101,0.8483463781032763,1.00928011469503,1.033
2020-07-05,0.9482832265637132,0.9500589854502556,0.9640677742344523,0.9386502142698252,0.9480950207303656,0.8728531987361129,1.0412201390835771,1.045
