Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2021-05-04,0.0,164025232,807422.0,3480107.602153211,4415052.052559105,5351964.74936004,6283248.561144123,7203981.977066773,8111007.513569209,9002342.150220865,-0.02342396744602726,-0.02095237300127306,-0.018609600471961363,-0.0164696482438369,-0.014550906654052453,-0.012843151749092896,-0.011325578934357927
Germany,2021-05-05,0.0,164804094,778862.0,3388942.701614908,4310903.642047284,5238832.6244667005,6164503.62383782,7082346.229933427,7988646.456505963,8880969.93519878,-0.02619600051501203,-0.023589395837689597,-0.021138428631628625,-0.01889865348326758,-0.016884515747063622,-0.01508580245531077,-0.013482293051826244
Germany,2021-05-06,0.0,165554046,749952.0,3291659.0262111807,4198674.913637828,5115645.853722251,6033812.249003846,6947004.9511917485,7850971.072449744,8742824.941678902,-0.028706202485326626,-0.026033689854444986,-0.02351416423749353,-0.021200632331303537,-0.019109667100100314,-0.017233881209512747,-0.015555169596099483
Germany,2021-05-07,0.0,166278840,724794.0,3193538.269658386,4083733.9309102627,4987832.211435209,5896633.070574726,6803423.33229278,7703434.95328866,8593336.447511012,-0.0298089066247349,-0.027375537542623896,-0.024984849604872905,-0.022735075731229126,-0.0206681325128949,-0.018792085437533967,-0.01709842015196339
Germany,2021-05-08,0.0,166982949,704109.0,3099262.702243789,3971096.1447282103,4860635.842862675,5758365.91763548,6657104.415756183,7551606.736256586,8438111.802759912,-0.029520725744952903,-0.027582058010558352,-0.025501332679339295,-0.02344849192486209,-0.021506660601595673,-0.019709158051273934,-0.018063373370660885
Germany,2021-05-09,0.0,167677713,694764.0,3019211.0266828416,3871640.9157825685,4745293.869052229,5630506.215116126,6519730.36378666,7407303.321116965,8289064.622483921,-0.025829264328897317,-0.025044779909867643,-0.02372981180637368,-0.02220416422787108,-0.02063570636572598,-0.01910896848571242,-0.01766357021096121
Germany,2021-05-10,0.0,168360528,682815.0,2947223.270012131,3780127.732626055,4637226.557543525,5508963.184385251,6387579.068313328,7267084.618770636,8142973.160235529,-0.02384323455184334,-0.023636795133418542,-0.0227735761979877,-0.021586519237750013,-0.020269441847987513,-0.018929790811534564,-0.01762460167726554
Germany,2021-05-11,0.0,169014055,653527.0,2863944.452509098,3677629.1861008443,4517882.464619604,5375495.443758788,6242658.684774161,7113157.772240565,7982202.844211976,-0.028256704658378262,-0.027115101333891944,-0.02573609277937472,-0.02422737930156582,-0.022687841823840316,-0.021181375283904402,-0.01974344172084963
Germany,2021-05-12,0.0,169637678,623623.0,2771581.339381824,3565726.3488806756,4388525.05384967,5231190.523221819,6085949.349177391,6946429.90865828,7807605.559790779,-0.03225031583498594,-0.030427982691428435,-0.028632309889191743,-0.02684495262748554,-0.02510297991767252,-0.02343935969379851,-0.021873320915140715
Germany,2021-05-13,0.0,170209361,571683.0,2650369.004536368,3424264.079104541,4228787.211541392,5055560.591332988,5896888.6805302175,6746287.363251804,7598528.003811701,-0.04373399875483763,-0.03967277797987534,-0.0363989815138811,-0.03357360644946705,-0.031065107150904603,-0.028812288907862027,-0.026778703711138885
