Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-06-03,0.0,178589,475.0,1406.7615518086548,1826.9354103870626,2293.4566506115025,2811.5688650167995,3390.302092461853,4039.821373657194,4769.202785311196,0.13234030939404873,0.08107851682885148,0.05100876331964832,0.031391030709926326,0.01756670040291497,0.007330229412231493,-0.0004471792849858325
Germany,2020-06-04,0.0,179082,493.0,1548.071163856491,1954.54832830965,2404.2138755095857,2902.9161700143995,3459.5143309041214,4083.952332139728,4785.282506780077,0.10045029441283515,0.0698508098299715,0.048292704755745985,0.03248979818143427,0.02041477029323069,0.010923987572891924,0.0033715742845754626
Germany,2020-06-05,0.0,179500,418.0,1579.0533728923683,1981.6386626477201,2421.5115629246548,2906.2138600123426,3445.075039541106,4048.179850790869,4724.754256102069,0.02001342687547747,0.01386015067813573,0.007194737369778492,0.00113599215575233,-0.004173791457959264,-0.008759279844511969,-0.012648835380617007
Germany,2020-06-06,0.0,179775,275.0,1459.2900296692762,1860.3109301181762,2292.926302437212,2766.040451439151,3289.440659598468,3873.3820895918834,4527.278830491862,-0.07584502543047067,-0.061225961531975126,-0.05310123744862061,-0.048232310258335964,-0.04517590419840867,-0.04317934667967782,-0.041795914645754384
Germany,2020-06-07,0.0,179923,148.0,1242.4675222519572,1636.248744094541,2058.771918697677,2518.8918155192728,3026.260577148659,3591.006301859452,4222.550947442676,-0.1485808187605162,-0.12044340674244258,-0.10212032697721085,-0.08935105623321193,-0.08000754829908807,-0.07290160929158007,-0.06730928101816935
Germany,2020-06-08,0.0,180208,285.0,1216.850641688968,1593.998995275633,2000.6432655813976,2444.0501275879483,2932.9780050050767,3477.005601652846,4085.295852698409,-0.020617746624522648,-0.025821103894743125,-0.0282346250152129,-0.029712148600512966,-0.030824368809467595,-0.03174617102386468,-0.03250525486907241
Germany,2020-06-09,0.0,180611,403.0,1315.637981266726,1678.1991962205066,2070.2027213178317,2497.9001093610987,2969.3557543794423,3493.671645913641,4079.766267428568,0.08118279778415771,0.05282324593329735,0.0347685451640074,0.0220330921879639,0.012403007902646257,0.004793217546981365,-0.001353533616467062
Germany,2020-06-10,0.0,181107,496.0,1482.7284859500446,1838.5593569764053,2221.1689344315264,2637.0572365952276,3094.186285082012,3601.485907478792,4167.789640685711,0.12700340599960502,0.09555490261051713,0.07292339612885534,0.05570964455809313,0.042039600852292525,0.03085987250440536,0.02157559219994809
Germany,2020-06-11,0.0,181379,272.0,1384.0463644625333,1742.8474855811244,2122.974112026272,2532.334774224481,2979.4129994467608,3473.3208066478146,4023.01067661714,-0.06655441129147899,-0.05205808070982465,-0.04420862406415105,-0.03971186552854522,-0.037093204823706705,-0.035586728401416634,-0.0347375891180417
Germany,2020-06-12,0.0,181722,343.0,1381.0347733469,1737.2779884648996,2112.145093355227,2513.572663620984,2949.9863745159155,3430.396272575835,3963.7096089554257,-0.0021759322468960507,-0.003195630806655303,-0.005100871748600522,-0.007409016688657566,-0.009876651856023155,-0.01235835572395827,-0.014740469869092943
Germany,2020-06-13,0.0,182012,290.0,1325.776080010175,1679.8223907719198,2050.1209111293556,2444.490854532272,2871.238077701426,3339.24113117852,3857.3386480598833,-0.04001252857870263,-0.03307219574211551,-0.02936549312876202,-0.027483513840095064,-0.026694461199812114,-0.026572772984290838,-0.026836214402592096
Germany,2020-06-14,0.0,182181,169.0,1163.3320600076313,1512.857912617536,1877.4340926077964,2264.277875313376,2681.3333179887477,3137.2143388253508,3640.604783253895,-0.12252749348238134,-0.09939412587402141,-0.08423250432894258,-0.07372209181505718,-0.06614037379467563,-0.060500809739926664,-0.05618740913894049
Germany,2020-06-15,0.0,182439,258.0,1130.4990450057235,1468.2863300940287,1822.528410506497,2198.8096074114655,2604.166653240154,3046.634967844756,3534.544304928506,-0.028223252956419365,-0.029461843145857536,-0.029245065015855887,-0.028913530717977753,-0.02877921377058623,-0.02887254780765469,-0.02913265367700657
Germany,2020-06-16,0.0,182942,503.0,1350.8742837542927,1677.629064075223,2021.773675422081,2387.6939492098277,2781.645821585135,3211.1199714175605,3684.0898744356555,0.19493624494610118,0.14257623304835088,0.1093235440210294,0.08590300004224782,0.0681520009958494,0.053989074933110226,0.04230971706837172
Germany,2020-06-17,0.0,183790,848.0,1861.1557128157197,2190.1032512601787,2532.8113961850677,2894.594813608424,3281.940093886993,3702.3288634822757,4163.68088699209,0.3777416116348551,0.3054752675422039,0.2527670267822133,0.21229725215258322,0.17985549001948886,0.1529712051984995,0.13017896655680805
Germany,2020-06-18,0.0,184544,754.0,2149.8667846117896,2506.082601008143,2864.6761634875566,3235.0812688072206,3625.6975821511187,4044.9589897620226,4501.312798292881,0.1551246195082101,0.14427600596736734,0.13102624530288565,0.11762836497808249,0.10474215812300014,0.09254448724403197,0.08108976659464928
Germany,2020-06-19,0.0,185529,985.0,2597.400088458842,2989.866080806514,3372.2301362396306,3757.9268018347607,4157.485384382229,4580.519102010687,5036.1815184635925,0.20816792326407585,0.19304370877630128,0.17717673614254537,0.16161743387062244,0.1466718583615576,0.13240186454403902,0.11882505041052926
Germany,2020-06-20,0.0,186090,561.0,2509.0500663441317,2952.8928646452114,3371.1917801996924,3782.0801158583668,4198.799711334451,4632.57253512061,5093.563366617233,-0.03401479137052499,-0.01236617800330686,-0.00030791375380334607,0.006427297629058026,0.009937335464225594,0.011364090390338921,0.011393919767043403
Germany,2020-06-21,0.0,186309,219.0,2100.787549758099,2581.314291716169,3028.326483499744,3460.782956450029,3892.9497474176446,4336.842253440542,4803.20702995551,-0.16271597050309194,-0.12583544001136238,-0.10170447694899121,-0.08495249956793083,-0.07284223705436088,-0.06383716162846198,-0.05700455963004081
