Country/Region,Date,Province/State,total_cases,new_cases,infected_4,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_4,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2021-01-17,0.0,2009664,6529.0,59598.97613438834,78304.46737729623,97117.95152611182,116066.9008845519,135165.96032688022,154407.7009539453,173767.9410434267,-0.15773031463967446,-0.12722861736944702,-0.10660599434764717,-0.09176719436357117,-0.08058916360054691,-0.07186573285097231,-0.06486404444241156
Germany,2021-01-18,0.0,2018718,9054.0,53753.232100791254,71697.573901837,89985.62627175986,108539.91504390164,127324.21528602019,146305.28973684026,165445.14693908402,-0.09808463857526095,-0.08437441306669113,-0.07343982386648995,-0.06485040768114514,-0.05801567955346043,-0.052474139353462235,-0.047896027623776094
Germany,2021-01-19,0.0,2036893,18175.0,58489.924075593444,75533.05912146959,93163.02189313322,111209.21289477283,129583.68837526767,148224.1464327469,167075.63224517563,0.08811920306337195,0.05349532781797972,0.03531003509135466,0.024592776305302433,0.017745823794568905,0.013115429383025567,0.009855141333894535
Germany,2021-01-20,0.0,2056051,19158.0,63025.44305669508,79584.44729717568,96793.85157761101,114480.18248123386,132543.7273283592,150912.79682910835,169526.06902065806,0.07754359494876173,0.053637284426555354,0.03897286295245661,0.029412757282582858,0.022842681746481963,0.018139085034848623,0.014666631767620952
Germany,2021-01-21,0.0,2072515,16464.0,63733.082292521314,80131.55783774055,97125.54298134251,114589.87069820045,132439.7614123143,150608.70829254074,169037.46211859226,0.011227834371424716,0.0068745911939540605,0.003426781746209917,0.0009581415279851235,-0.0007843895606416407,-0.0020149950365836444,-0.002882193310376757
Germany,2021-01-22,0.0,2087287,14772.0,62571.811719390986,78877.24627019244,95709.9524844521,112991.88916988611,130656.79123577502,148646.40737114733,166905.71590673304,-0.018220844361494182,-0.01565315340665141,-0.014574852849598474,-0.013945224988716531,-0.01346249915830422,-0.01302913319980048,-0.012611087418974876
Germany,2021-01-23,0.0,2098624,11337.0,58265.85878954324,74438.79701615396,91095.29373704341,108187.19071704525,125661.69233130314,143467.13988546428,161552.14431605974,-0.0688161779485974,-0.05627033731419406,-0.048215035402491946,-0.042522507483850336,-0.03823068710954358,-0.03484287025350852,-0.032075423909777134
Germany,2021-01-24,0.0,2103553,4929.0,48628.39409215743,64480.037612923166,80841.74478086951,97660.87775746736,114882.98078989025,132455.34656485711,150325.92988445377,-0.16540500556589088,-0.13378452906848615,-0.11255849271172991,-0.09729722058416879,-0.0857756356885212,-0.07675481179452193,-0.06948972716600443
Germany,2021-01-25,0.0,2110196,6643.0,43114.295569118076,58227.030090338536,74011.1206507246,90352.32379211488,107165.60819115397,124381.08583542854,141936.3368960084,-0.11339256880639303,-0.09697586654836865,-0.0844937742086107,-0.07483604625695317,-0.0671759432569965,-0.0609583602234961,-0.055809353681656404
Germany,2021-01-26,0.0,2125370,15174.0,47509.721676838555,61755.62407227083,76849.93387560383,92618.8489646699,108943.90716725972,125734.9651870476,142916.70320640755,0.10194822969272477,0.06060061755610291,0.03835657668630965,0.025085410949361897,0.016593933502749847,0.010884929509382246,0.006907084766583971
Germany,2021-01-27,0.0,2140896,15526.0,51158.291257628916,64930.49925781667,79567.6115630032,94913.58482685992,110851.91877135226,127290.41349959785,144151.0328857668,0.07679627352077456,0.0514103004097306,0.03536343559902666,0.024776121576131516,0.017513706399048035,0.012370849351541313,0.008636706918550674
Germany,2021-01-28,0.0,2153868,12972.0,51340.71844322169,64916.39940625334,79278.34296916933,94326.50128016566,109967.42892493322,126119.03422186476,142707.92959719012,0.0035659358650992345,-0.00021715298241198333,-0.0036355068117738254,-0.006185453302235078,-0.007979021529103347,-0.009202415527833852,-0.010011050629933904
Germany,2021-01-29,0.0,2166065,12197.0,50702.53883241626,64130.11952500267,78262.2858076411,93048.28681157056,108418.50030931657,124302.8081972131,140634.1366374711,-0.012430282048179642,-0.012112191810424444,-0.012816326924534271,-0.013550958121499423,-0.014085339911638628,-0.014400887509625204,-0.01453172900463584
Germany,2021-01-30,0.0,2175750,9685.0,47711.9041243122,60989.09562000214,74903.57150636759,89440.67440991763,104551.187770652,120176.38506418942,136255.72297372398,-0.05898392421706555,-0.048978918615237066,-0.042916128331963344,-0.038771400584285964,-0.03567022719952018,-0.033196539908228684,-0.031133363267510594
Germany,2021-01-31,0.0,2179859,4109.0,39892.92809323415,52900.276496001716,66528.64292197299,80772.43520850083,95591.2892993205,110932.4533903906,126739.1506763516,-0.16387893492378547,-0.13262730069648043,-0.11180946937466985,-0.0969160760314618,-0.0856986770058158,-0.0769197015608466,-0.06984346851403522
Germany,2021-02-01,0.0,2185623,5764.0,35683.696069925616,48084.22119680137,61204.53576831083,74997.51589300072,89406.37813690543,104370.62523590274,119829.23560871644,-0.10551323817271818,-0.09104026704972601,-0.08002729230335348,-0.07149616450950258,-0.06470161881642322,-0.059151564343354446,-0.054520761980492605
Germany,2021-02-02,0.0,2197577,11954.0,38716.77205244421,50421.3769574411,62957.7798069257,76237.58505114348,90184.58086979226,104727.88909858021,119800.3120478448,0.08499892994758707,0.048605461468827826,0.02864565536861119,0.01653480309817157,0.00870410757155593,0.003423030779684977,-0.0002413731567652011
Germany,2021-02-03,0.0,2210614,13037.0,42074.579039333155,53374.10156595288,65501.816505771414,78383.50147240871,91948.50826106823,106128.45697651574,120857.28084306032,0.08672745192550124,0.058560967325506974,0.04040861521241035,0.028147749168938807,0.01955907954845082,0.013373399292113675,0.00882275494235274
