Country/Region,Date,Province/State,total_cases,new_cases,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Germany,2020-09-11,0.0,260166,1642.0,7483.444442669559,8806.367399469807,10103.316932825452,11377.286911606578,12628.548212845068,13856.223841403209,0.024875886930404656,0.02432484131135748,0.023479679484127658,0.022581680236571255,0.021738217657054415,0.0209900865735424
Germany,2020-09-12,0.0,261702,1536.0,7522.755554135648,8874.639499558172,10195.985942421816,11491.126047655755,12761.376189195615,14006.601457262888,0.005253077211603507,0.007752583669456525,0.00917213725081556,0.010005824493451332,0.010518071761838943,0.010852712656845398
Germany,2020-09-13,0.0,263278,1576.0,7594.204443308518,8971.532916298478,10315.416522075842,11630.735291698786,12919.445501507213,14181.9413115366,0.009497701827303251,0.010918011570512753,0.011713490027199791,0.012149309255163221,0.012386541229419068,0.012518372483768525
Germany,2020-09-14,0.0,265402,2124.0,8199.363554646814,9600.277430248732,10965.785590350722,12300.893380236437,13607.9515568953,14887.747180382941,0.07968696600886482,0.07008217211219514,0.06304826052181567,0.05761958051061167,0.05329222955488011,0.04976793045055028
Germany,2020-09-15,0.0,267368,1966.0,8525.490843717453,9966.231191873943,11365.244791729192,12729.281707706883,14061.956939462487,15364.972462344647,0.03977470774372649,0.03811908189987889,0.03642777784475126,0.03482578982098383,0.03336324212126818,0.03205490234214414
Germany,2020-09-16,0.0,269255,1887.0,8707.392674973962,10192.192659894954,11628.638392910736,13025.121494243522,14386.51727952221,15715.475216110182,0.021336229736327095,0.022672709840932725,0.023175356625245946,0.023240886118305104,0.023080737727826373,0.022811804877914454
Germany,2020-09-17,0.0,270976,1721.0,8686.91413997917,10214.493883245796,11688.404336780632,13117.981307463082,14509.015359575296,15864.927694499165,-0.0023518561478972355,0.002188069250161906,0.005139547886047646,0.007129285762178972,0.008514783506877732,0.009509892404384823
Germany,2020-09-18,0.0,272682,1706.0,8655.531311983337,10218.078236038164,11724.632288669114,13184.233644030197,14602.902541844707,15984.434925049249,-0.0036126554827337065,0.0003509085064161699,0.003099477982164034,0.00505049786352596,0.006470954778295734,0.0075327938993079435
Germany,2020-09-19,0.0,274181,1499.0,8423.425049586669,10014.06519669847,11548.684818859241,13035.204438526422,14479.357814973073,15884.991432544324,-0.026815946246456668,-0.019965891298440064,-0.015006651422229345,-0.01130359257333513,-0.008460285653322464,-0.006221270440351145
Germany,2020-09-20,0.0,275811,1630.0,8368.740039669336,9975.05433058206,11528.87270187935,13035.80388371062,14500.540279976063,15926.492289289892,-0.006492015966832465,-0.0038956073632586685,-0.0017155301482932872,4.5986634657380066e-05,0.0014629422985241725,0.00261258288503341
Germany,2020-09-21,0.0,278002,2191.0,8885.99203173547,10503.54527548505,12072.890887325158,13597.328398246793,15080.3691377565,16524.8430603609,0.0618076304932722,0.05298125978950452,0.047187457049215675,0.043075557099922834,0.03998670715608621,0.03756952630890242
Germany,2020-09-22,0.0,280157,2155.0,9263.793625388376,10907.954396237543,12503.19218913585,14052.662348465943,15559.772566894666,17027.358754324814,0.04251653527300325,0.03850215428655046,0.03564194407343213,0.0334870157492011,0.03178990015157468,0.03040971052665098
Germany,2020-09-23,0.0,282237,2080.0,9491.0349003107,11169.96199686462,12797.02187640216,14376.079554907701,15910.908948350814,17404.622878892333,0.024530045045427773,0.02401986578871762,0.023500373570328748,0.023014657181816167,0.022566935342180683,0.022156350260236213
Germany,2020-09-24,0.0,284307,2070.0,9662.827920248561,11378.30166405385,13038.875894058994,14649.069610544238,16213.030176311833,17734.1605910031,0.018100557182888055,0.018651779410503888,0.018899242338783262,0.01898918648814396,0.018988307264012905,0.018933918557374696
Germany,2020-09-25,0.0,286466,2159.0,9889.262336198848,11640.91805337821,13335.179337764854,14976.93590922621,16570.58237894385,18119.74453190279,0.023433555664982064,0.02308045586047447,0.022724615688754835,0.02238137352053915,0.02205338537853474,0.02174244103187517
Germany,2020-09-26,0.0,288393,1927.0,9838.40986895908,11627.765044481841,13357.15371808416,15031.818920572932,16656.4065590612,18234.770078712514,-0.005142190136227631,-0.00112989446674705,0.0016478503785153364,0.0036645019835408466,0.0051793098247654434,0.006348077734054325
Germany,2020-09-27,0.0,290297,1904.0,9774.727895167263,11593.804203734868,13352.988901214996,15056.841555501316,16709.694719165513,18315.293070841264,-0.0064727912985956815,-0.0029206679544225844,-0.0003118042179544034,0.00166464451578352,0.0031992590908105356,0.004415903890269135
Germany,2020-09-28,0.0,292961,2664.0,10483.782316133811,12325.50350311239,14109.419058184283,15838.736361063651,17517.061972591568,19147.76376375714,0.07253955594171702,0.06311123480434566,0.05664875201839337,0.051929536661468934,0.048317295258544,0.04545221797412591
Germany,2020-09-29,0.0,295728,2767.0,11154.025852907049,13038.252919260325,14860.787764157958,16625.894315930695,18337.721753414728,19999.987387381425,0.06393146257355808,0.057827204865744886,0.053252986737100105,0.04969828002201693,0.04684916809149975,0.04450773647194106
Germany,2020-09-30,0.0,298512,2784.0,11707.22068232564,13649.210766050272,15521.818083563965,17331.657526439358,19084.197114146424,20783.988648643284,0.049595978771594273,0.04685887369828734,0.04448151268267986,0.042449638924530575,0.040707093867464295,0.03920008778388073
Germany,2020-10-01,0.0,301520,3008.0,12373.776545860512,14382.342305041893,16312.415500197685,18173.200335634436,19971.730768130154,21713.589783778956,0.05693544878172241,0.053712375869756634,0.05093458848553856,0.048555241061699395,0.04650620870635591,0.0447267918998
Germany,2020-10-02,0.0,304893,3373.0,13272.02123668841,15358.285254201579,17355.070428740873,19274.55029368013,21125.649571671245,22915.23080540106,0.0725926064285034,0.0678570241522869,0.0639178746109399,0.060602972382698184,0.05777760660495468,0.05534050489061859
Germany,2020-10-03,0.0,308250,3357.0,13974.616989350729,16155.571045167982,18232.774653206463,20222.231506970114,22135.355174818884,23980.707724860957,0.0529381124496775,0.051912422368134425,0.05057335999121437,0.049167487637868046,0.04779524528806056,0.04649645157441595
Germany,2020-10-04,0.0,311670,3420.0,14599.693591480584,16882.97587097332,19048.092559891254,21114.45256859885,23095.871266505674,25002.63695237486,0.04472942640261213,0.045025014824400245,0.04471716028922712,0.044120801471450255,0.043392847510279386,0.04261464003643489
