Country/Region,Date,Province/State,total_cases,new_cases,infected_5,infected_6,infected_7,infected_8,infected_9,infected_10,gr_infected_5,gr_infected_6,gr_infected_7,gr_infected_8,gr_infected_9,gr_infected_10
Switzerland,2020-12-20,0.0,403989,0.0,15072.921613758976,19338.91171110239,23598.251606110505,27878.74687989033,32201.916926929072,36578.90708966922,-0.19999999999999996,-0.16666666666666663,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999987
Switzerland,2020-12-21,0.0,413991,10002.0,22060.33729100718,26117.759759251996,30229.072805237578,34395.90351990404,38625.92615727028,42923.0163807023,0.4635740738457699,0.35052893096657,0.2809878168012283,0.23376791891298043,0.19949151613918636,0.17343627231620617
Switzerland,2020-12-22,0.0,418266,4275.0,21923.269832805745,26039.799799376666,30185.633833060783,34371.415579916036,38609.15658424025,42905.714742632066,-0.006213298391285815,-0.002984940538313774,-0.0014369932037501254,-0.0007119435014646402,-0.00043415329283635895,-0.0004030853264546108
Switzerland,2020-12-23,0.0,423299,5033.0,22571.615866244596,26732.833166147222,30906.400428337816,35107.98863242653,39352.250297102444,43648.14326836886,0.029573418490186798,0.02661438920844339,0.023877802244046675,0.021429814282682313,0.019246566840714685,0.01730372119868462
Switzerland,2020-12-24,0.0,428197,4898.0,22955.292692995677,27175.360971789352,31389.200367146703,35617.490053373214,39877.778041868834,44181.328941531974,0.016998199376805134,0.01655371890034152,0.015621357780837286,0.014512407027387875,0.01335445217995801,0.012215540759313415
Switzerland,2020-12-25,0.0,428197,0.0,18364.23415439654,22646.134143157793,26905.028886125747,31165.303796701563,35446.91381499452,39763.19604737878,-0.20000000000000007,-0.16666666666666674,-0.1428571428571428,-0.125,-0.11111111111111105,-0.09999999999999998
Switzerland,2020-12-26,0.0,428197,0.0,14691.387323517234,18871.778452631494,23061.453330964927,27269.640822113866,31508.367835550685,35786.8764426409,-0.19999999999999996,-0.16666666666666674,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999987
Switzerland,2020-12-27,0.0,428197,0.0,11753.109858813788,15726.482043859578,19766.959997969938,23860.935719349633,28007.43807604505,32208.188798376814,-0.19999999999999996,-0.16666666666666663,-0.1428571428571428,-0.125,-0.11111111111111116,-0.09999999999999998
Switzerland,2020-12-28,0.0,438284,10087.0,19489.48788705103,23192.401703216317,27030.10856968852,30965.31875443093,34982.500512040046,39074.36991853913,0.6582409354776553,0.47473552181187384,0.36743882582169984,0.29774117489114715,0.24904321548641795,0.2131812242887856
Switzerland,2020-12-29,0.0,442481,4197.0,19788.590309640822,23524.001419346932,27365.664488304446,31291.653910127065,35292.55601070226,39363.93292668522,0.01534685900025723,0.01429777391638698,0.012414153563268249,0.010538730709802158,0.008863159983532487,0.0074105611619526
